idx,fen,move_fen,move_qp,score,best_move1_fen,best_move1_qp,best_score1,best_move2_fen,best_move2_qp,best_score2,best_move3_fen,best_move3_qp,best_score3
38,2bCk1br1/4a4/4cRn2/p3C3p/2p3P2/3R5/P1n1P3P/5AN2/4K4/c1r2AB2,g7h5,黑 马7进8,-833,"g7h5,c9c8,e8e9,c6b8,f2g2,c8c9,e9e8,a9a8,d5d8,c9c6,e8e9,a8d8,d0d6,e0d0,f9e8,h0h5,g2g0,d0d1,g0c0,e2e6,e9f9,c6d6,c0b0,h5h8,e3f3,h8h9,f3g3","黑 马7进8,红 车7退1,黑 将5退1,红 马7进8,黑 车6平7,黑 3退1,黑 5进1,红 炮9退1,黑 车4退3,红 车7退3,黑 将5退1,黑 1平4,黑 炮4退6,红 帅5平6,黑 士6进5,红 车2进5,红 马3退23退3,黑 炮4退1,红 相3平73进7,红 炮5进4,黑 5平6,红 马7平67进6,红 相7平87进8,黑 8退3,黑 炮5平6,黑 8退1,黑 6平7",-833,"d5h5,h0h5,g7h5,e0d0,h5f4,c6b8,f4d5,a9a8,e8e7,b8c6,e7e8","黑 车4平8,红 车2进5,黑 马7进8,红 帅5平6,黑 ,红 马7进8,黑 ,红 炮9退1,黑 将5进1,黑 ,黑 5退1",-910,"g4h4,h0h4,g7h5,c9c8,e8e9,h4e4,f2g2,e4e6,f9e8,c8c9,d5d9,e6e3,g2g0,e1f0,d0d6,e3e6,d6d3,e6d6,d3e3,e2e8","黑 卒7平8,红 车2进4,黑 马7进8,红 车7退1,黑 将5退1,黑 8平5,黑 车6平7,黑 5退2,黑 士6进5,黑 3退1,黑 车4退4,黑 卒5进3,红 马3退23退3,红 仕5退4,黑 炮4退6,黑 炮5退3,黑 4进3,黑 卒5平4,黑 4平5,红 炮5进6",-916
39,2bCk1br1/4a4/4cRn2/p3C3p/2p3P2/3R3N1/P1n1P3P/5A3/4K4/c1r2AB2,c9c8,红 车7退1,872,"c9c8,e8e9,c8c9,e9e8,a9a8,f2g2,c6b8,d5d8,c9c6,e8e9,a8d8,g4f4,e0d0,g2g5,d8d2,f9e8,e2e6,e8d9,c6d6,e9f9,d6d9,f9f8,b8d7,f8e8","红 车7退1,黑 将5退1,黑 3退1,黑 5进1,红 炮9退1,黑 车6平7,红 马7进8,黑 车4退3,红 车7退3,黑 将5退1,黑 1平4,黑 卒7平6,红 帅5平6,红 马3进33进3,黑 4进6,黑 士6进5,红 炮5进4,黑 将,红 马7平67进6,黑 5平6,黑 4退3,黑 士6进16进6,黑 ,黑 6平5",872,"a9a8,f2g2,c6b8,d5d8,c9c6,e8e9,a8d8,g4f4,e0d0,g2g5,c6e6,f9e8,e6e3,f4e4,e2e4,e9f9,d0e0","红 炮9退1,黑 车6平7,红 马7进8,黑 车4退3,红 车7退3,黑 将5退1,黑 1平4,黑 卒7平6,红 帅5平6,红 马3进33进3,红 马7平57进5,黑 士6进5,黑 卒5进3,黑 6平5,红 炮5进2,黑 5平6,黑 炮4平5",866,"c6b8,f2g2,a9a8,d5d8,c9c6,e8e9,a8d8,g4f4,e0d0,g2g5,c6e6,f9e8,e6e3,e9f9,b8c6,h5g3,e3b3,e8d9","红 马7进8,黑 车6平7,红 炮9退1,黑 车4退3,红 车7退3,黑 将5退1,黑 1平4,黑 卒7平6,红 帅5平6,红 马3进33进3,红 马7平57进5,黑 士6进5,黑 卒5进3,黑 5平6,黑 ,黑 马8进7,黑 炮5平2,黑 将",850
40,2bCk1br1/4a4/4cRn2/p3C3p/2p3P2/3R3N1/P1n1P3P/5A3/2r1K4/c4AB2,e8e9,黑 将5退1,-866,"e8e9,c8c9,e9e8,a9a8,f2g2,c6b8,d5d8,c9c6,e8e9,a8d8,d0d6,e0d0,f9e8,h0h5,d6d4,c6c9,e8d9,d8g8,g4f4,c9d9,e9e8,d9d4,g2g0,d0d1,g0g8","黑 将5退1,红 车7进1,黑 5进1,红 炮9退1,黑 车6平7,红 马7进8,黑 车4退3,黑 3进3,黑 将5退1,黑 1平4,黑 炮4退6,红 帅5平6,黑 士6进5,红 车2进5,黑 4进2,红 马7进37进7,黑 将,黑 4平7,黑 卒7平6,黑 3平4,黑 5进1,黑 4进5,红 马3退23退3,黑 炮4退1,红 相3进83进3",-866,"d5d8,c8d8,e8e9,e0d0,f2e2,d8d9,e9e8,h0h5,e2d2,e1d2,e3d3,d0e0","黑 车4退3,红 车7平6,黑 将5退1,红 帅5平6,黑 车6平5,黑 4退1,黑 5进1,红 车2进5,红 炮5平6,红 仕5进6,黑 炮5平4,黑 炮4平5",-8900,,,
41,2bCk1br1/4a4/4cRn2/p3C3p/2p3P2/3R3N1/P1n1P3P/5A3/2r6/c3KAB2,c8c9,红 车7进1,860,"c8c9,e9e8,c9c8,e8e9,c6b8,f2g2,c8c9,e9e8,a9a8,d5d8,c9c6,e8e9,a8d8,d0d6,e0d0,g4h4,h0h4,g2g5,c6d6,f9e8,d8c8,g9e7,e2e6,e9f9,d6d8,g5b5,b8c6","红 车7进1,黑 将5进1,黑 3进1,黑 5退1,红 马7进8,黑 车6平7,红 车7进1,黑 将5进1,红 炮9退1,黑 车4退3,黑 3进3,黑 5退1,黑 1平4,黑 炮4退6,红 帅5平6,黑 卒7平8,红 车2进4,红 马3进33进3,红 马7平67进6,黑 士6进5,黑 4平3,黑 象7进5,红 炮5进4,黑 将5平6,黑 4退2,黑 7平2,黑 ",860,"c6b8,d0d2,c8c9,e9e8,a9a8,d5d8","红 马7进8,黑 炮4退2,红 车7进1,黑 将5进1,红 炮9退1,黑 车4退3",854,"c6a7,d0d2,c4c5,d5d7,a7b9,d7d9,e0d0,f2g2,c8d8,f9e8,d8d2,e9f9,d2d9,e8d9,b9c7,d9e8","红 马7进9,黑 炮4退2,红 兵7进1,黑 车4退2,黑 ,黑 4退2,红 帅5平6,黑 车6平7,红 车7平6,黑 士6进5,黑 4进6,黑 将5平6,黑 4退7,黑 ,黑 ,黑 ",670
42,2bCk1br1/4a4/4cRn2/p3C3p/2p3P2/3R3N1/P1n1P3P/5A3/9/c1r1KAB2,e9e8,黑 将5进1,-889,"e9e8,c9c8,e8e9,c6b8,g4h4,c8c9,e9e8,a9a8,d5d8,c9c6,e8e9,a8d8,f2g2,e0d0,g2g4,c6e6,f9e8,e6e3,h5f4,d8d6,g4g6,e3g3,e8d9,d6e6,e9f9,g3g6,f4g6","黑 将5进1,红 车7退1,黑 5退1,红 马7进8,黑 卒7平8,黑 3退1,黑 将5进1,红 炮9退1,黑 车4退3,红 车7退3,黑 5退1,黑 1平4,黑 车6平7,红 帅5平6,红 马3进23进3,红 马7平57进5,黑 士6进5,黑 卒5进3,黑 马8进6,黑 4进2,黑 卒7退2,黑 炮5平7,黑 ,黑 4平5,黑 将5平6,黑 7退3,黑 ",-889,"d5d9,c6b8,e9e8,c9d9,f2f0,g2f0,e8f8,h0h5,f7e8,h5h8,f8f7,d9f9,e8f9,h8h7,f7f8,b8d9,f8e8,h7h8","黑 车4退4,红 马7进8,黑 将5进1,红 车7平6,黑 车6进2,红 马3退4,黑 5平6,红 车2进5,黑 士6退5,黑 马8退38退8,黑 6进1,黑 4平6,黑 ,黑 8进1,黑 士6退16退6,黑 ,黑 6平5,黑 8退1",-9100,,,
43,2bCk1br1/4a4/4cRn2/p3C3p/2p3P2/3R3N1/P1n1P3P/5A3/4K4/c1r2AB2,c6b8,红 马7进8,743,"c9c8,e8e9,c6b8,f2g2,c8c9,e9e8,a9a8,d5d8,c9c6,e8e9,a8d8,d0d4,c6e6,f9e8,e6e3,h5f4,d8d6,g4h4,e3f3,f4e6,h0h4,d4d5,f3f6,d5b5","红 车7退1,黑 将5退1,红 马7进8,黑 车6平7,黑 3退1,黑 5进1,红 炮9退1,黑 车4退3,红 车7退3,黑 将5退1,黑 1平4,黑 炮4退4,红 马7平57进5,黑 士6进5,黑 卒5进3,黑 马8进6,黑 4进2,黑 卒7平8,黑 炮5平6,黑 ,红 车2进4,黑 4退1,黑 6退3,黑 车4平2",914,"a9a8,f2g2,c6b8,d5d8,c9c6,e8e9,a8d8,d0d4,c6e6,f9e8,e6e3,h5f4,d8d6,g4h4,e3f3,f4e6,h0h4","红 炮9退1,黑 车6平7,红 马7进8,黑 车4退3,红 车7退3,黑 将5退1,黑 1平4,黑 炮4退4,红 马7平57进5,黑 士6进5,黑 卒5进3,黑 马8进6,黑 4进2,黑 卒7平8,黑 炮5平6,黑 ,红 车2进4",863,"c6b8,e8f8,c9f9,f8e8,a9a8,e8e7,f9e9,f7e8,e9e8,e7f7,e8f8,f7e7,h0h5,d5h5,f8f2,d0g0","红 马7进8,黑 将5平6,红 车7平4,黑 6平5,红 炮9退1,黑 将5进1,黑 士6平56进5,黑 士6退5,黑 5进1,黑 5平6,黑 将5平6,黑 士6平56进5,红 车2进5,黑 车4平8,黑 6进6,黑 炮4平7",743
44,2bCk1br1/4a4/4cRn2/p3C3p/2p3P2/3R3N1/P3P3P/5A3/1n2K4/c1r2AB2,h5g7,黑 马8退7,,"d5a5,c9d9,a5f5,e0d0,f2g2,d9d8,e8e9","黑 车4平1,红 车7平6,黑 1平6,红 帅5平6,黑 车6平7,黑 4进1,黑 将5退1",-771,"f2g2,a9a8,d5d8,c9c6,e8e9,a8d8,d0d6,e0d0,f9e8,h0h5,e3c3,c6d6,g2g0,d0d1,g0c0,d8c8,e9f9,d6a6,c0c1,d1d2","黑 车6平7,红 炮9退1,黑 车4退3,红 车7退3,黑 将5退1,黑 1平4,黑 炮4退6,红 帅5平6,黑 士6进5,红 车2进5,黑 炮5平3,黑 3平4,红 马3退23退3,黑 炮4退1,红 相3平73进7,黑 4平3,黑 5平6,黑 4平1,红 相7进17进7,黑 4退1",-893,"g4h4,a9a8,d5d8,c9c6,e8e9,a8d8,f2g2,e0d0,g2g4,c6e6,f9e8,e6e3,h5f4,d8d6,g4g6,e3g3,e8d7,b8d7,e9e8,g3g6,f4g6,h0h2,g6f4,h2h4","黑 卒7平8,红 炮9退1,黑 车4退3,红 车7退3,黑 将5退1,黑 1平4,黑 车6平7,红 帅5平6,红 马3进23进3,黑 3平5,黑 士6进5,黑 卒5进3,黑 马8进6,黑 4进2,黑 卒7退2,黑 炮5平7,黑 将,红 马8退6,黑 5进1,黑 7退3,黑 ,红 车2进2,黑 ,黑 8退2",-934
45,2bCk1br1/4a4/4cRn2/p3C3p/2p3P2/3R5/P3P3P/5AN2/1n2K4/c1r2AB2,c4c5,红 兵7进1,1518,"h0h8,e8e7,c9c7,d5d7,c7d7","红 车2进8,黑 将5进1,红 车7退2,黑 车4退2,黑 3平4",9700,"a9a8,d5d8,h0h8,e8e7,c9c7,d0d7,b8c6","红 炮9退1,黑 车4退3,红 车2进8,黑 将5进1,红 车7退2,黑 炮4退7,红 马8退7",9600,"c9c8,e8e9,h0h8,f2f0,g2f0,d5c5,c8c9,d0d9,c9d9","红 车7退1,黑 将5退1,红 车2进8,黑 车6进2,红 马3退4,黑 车4平3,黑 3退1,黑 炮4退9,红 车7平6",9500
46,2bCk1br1/4a4/4cRn2/p3C3p/6P2/2pR5/P3P3P/5AN2/1n2K4/c1r2AB2,d5h5,黑 车4平8,-9500,"g4h4,c5d5,e8f8,e0d0,f7e8,e1f2,g7f5,g2f4,f8f7,a9a8,e3b3,c9c6,b3b0,c0a2","黑 卒7平8,红 兵7平6,黑 将5平6,红 帅5平6,黑 士6退5,红 仕5进4,黑 马7进6,红 马3进4,黑 6进1,红 炮9退1,黑 炮5平2,红 车7退3,黑 2进3,红 相7进9",-1590,"f2f0,g2f0,g4h4,c5d5,e8f8,h0h4,f7e8,c9c7,g7h5,h4h5","黑 车6进2,红 马3退4,黑 卒7平8,红 兵7平6,黑 将5平6,红 车2进4,黑 士6退5,红 车7退2,黑 马7进8,黑 8退1",-9100,"d5d7,h0h8,e8e7,b8d7,f2f0,e0f0,f7e8,d7b8,g7f5,h8h7,e8f7","黑 车4退2,红 车2进8,黑 将5进1,红 马8退6,黑 车6进2,红 帅5平4,黑 士6退5,黑 ,黑 马7进6,黑 8进1,黑 将",-9100
47,2bCk1br1/4a4/4cRn2/p3C3p/6P2/2p4R1/P3P3P/5AN2/1n2K4/c1r2AB2,e0d0,红 帅5平6,9500,"e0d0,f2f0,g2f0,h5d5,c5d5,e8e7,b8c6,e7d7,c9d9","红 帅5平6,黑 车6进2,红 马3退4,黑 车8平4,红 兵7平6,黑 将5进1,红 马8退7,黑 5平4,红 车7平6",9500,"h0h5,f2f0,e0f0,g7h5,a9a8,d0d8,g2e3,g4f4,e3f5,f4e4,f5d6,e8e7","红 车2进5,黑 车6进2,红 帅5平4,黑 马7进8,红 炮9退1,黑 炮4退8,红 马3进5,黑 卒7平6,黑 炮,黑 6平5,黑 ,黑 将5进1",9200,"c9c8,e8e7,e0d0,h5d5,c5d5,f2f0,g2f0,f7e8,c8c7,e8d7,c7d7,e7e8,a9a8,e8e9,d7d9","红 车7退1,黑 将5进1,红 帅5平6,黑 车8平4,红 兵7平6,黑 车6进2,红 马3退4,黑 士6退5,黑 3进1,黑 将,黑 3平4,黑 5退1,红 炮9退1,黑 将5退1,黑 4退2",9200
48,2bk2br1/4a4/4cRn2/p3C3p/6P2/2p4R1/P3P3P/5AN2/1n2K4/c1r2AB2,h5d5,黑 车8平4,-9600,"f2f0,g2f0,h5d5,c5d5,e8e7,b8c6,e7d7,c9d9","黑 车6进2,红 马3退4,黑 车8平4,红 兵7平6,黑 将5进1,红 马8退7,黑 5平4,红 车7平6",-9600,"h5d5,c5d5,f2f0,g2f0,e8e7,b8c6,e7d7,c9d9","黑 车8平4,红 兵7平6,黑 车6进2,红 马3退4,黑 将5进1,红 马8退7,黑 5平4,红 车7平6",-9600,"h5c5,h0h8,e8e7,b8d9","黑 车8平3,红 车2进8,黑 将5进1,红 马8进6",-9800
