idx,fen,move_fen,move_qp,score,best_move1_fen,best_move1_qp,best_score1,best_move2_fen,best_move2_qp,best_score2,best_move3_fen,best_move3_qp,best_score3
43,C1R2ab2/4k4/5a3/p1N1p3p/3r3n1/2P3p2/P3c3P/4CrN2/4A4/2BcK1BR1,c6b8,黑 ,862,"c9c8,e8e9,c6b8,f2g2,c8c9,e9e8,a9a8,d5d8,c9c6,d0d7,c6e6,d7e7,e6e3,e8e9,e3e7,f7e8,e7b7,g2e2,g0e2,d8d3,a8a9,h5f4,b7c7,f4g2,c7c9,e8d9","黑 象3进13进3,黑 士5退15退5,黑 ,红 仕4平34进3,黑 3退1,黑 将5进1,黑 1进1,黑 4退3,黑 象3进33进3,黑 4退7,黑 3平5,黑 4平5,红 炮5退3,黑 士5退15退5,红 兵5进4,红 车,黑 炮5平2,黑 7平5,红 相3进5,黑 4进5,黑 1退1,黑 ,黑 2平3,黑 ,黑 3退2,黑 士5退4",907,"c6b8,d5b5,c9c8,e8e7,e0d0,b5b8,c8b8,f2g2,h0h5,g2g0,d0d1,e3e5,b8b7,e7e8","黑 ,黑 4平2,黑 象3进13进3,黑 士5进15进5,黑 5平4,黑 2退3,黑 3平2,红 仕4平34进3,黑 8退5,黑 7进2,黑 4退1,红 兵5进2,黑 2进1,黑 炮5退1",862,"a9a8,d5b5,e0d0,b5d5,d0e0,e8f8,c4c5","黑 1进1,黑 4平2,黑 5平4,黑 2平4,黑 4平5,黑 士5平65进6,黑 3退1",852
44,C1R2ab2/1N2k4/5a3/p3p3p/3r3n1/2P3p2/P3c3P/4CrN2/4A4/2BcK1BR1,h5g7,黑 ,,"f2g2,a9a8,d5d8,c9c6,e8e9,a8d8,g2g0,h0g0,d0g0,b8d7,g9e7,d8a8,e9d9,d7b8,d9e9","红 仕4平34进3,黑 1进1,黑 4退3,黑 象3进33进3,黑 士5退15退5,黑 1平4,黑 7进2,黑 8平7,黑 4平7,黑 ,黑 象7进5,黑 4平1,黑 将5平4,黑 ,红 炮6平5",-672,"d5d8,a9a8,f2g2,c9c6,e8e9,a8d8,d0d1,c6e6,f9e8,e6e3,d1d6,h0h5,g2g0,e1f0","黑 4退3,黑 1进1,红 仕4平34进3,黑 象3进33进3,黑 士5退15退5,黑 1平4,黑 4退1,黑 3平5,黑 ,红 炮5退3,黑 4退5,黑 8退5,黑 7进2,红 帅",-838,"g4h4,a9a8,d5d8,c9c6,e8e9,a8d8,f2g2,c6e6,f9e8,e6e3,h5f4,e3f3,g9e7,f3f4,d0d6,f4h4","黑 7平8,黑 1进1,黑 4退3,黑 象3进33进3,黑 士5退15退5,黑 1平4,红 仕4平34进3,黑 3平5,黑 ,红 炮5退3,黑 ,红 兵5平4,黑 象7进5,黑 6退1,黑 4退6,黑 6平8",-861
45,C1R2ab2/1N2k4/5an2/p3p3p/3r5/2P3p2/P3c3P/4CrN2/4A4/2BcK1BR1,c4c5,黑 3退1,1528,"h0h8,e8e7,c9c7,d5d7,c7d7","黑 8退8,黑 士5进15进5,黑 象3进23进3,黑 4退2,黑 3平4",9700,"a9a8,d5d8,h0h8,e8e7,c9c7,d0d7,b8c6","黑 1进1,黑 4退3,黑 8退8,黑 士5进15进5,黑 象3进23进3,黑 4退7,黑 ",9600,"c9c8,e8e9,h0h8,f2f0,g2f0,d5c5,c8c9,d0d9,c9d9","黑 象3进13进3,黑 士5退15退5,黑 8退8,红 仕4退24退4,红 马3退4,黑 4平3,黑 3退1,黑 4退9,黑 象3平43进4",9500
46,C1R2ab2/1N2k4/5an2/p3p3p/2Pr5/6p2/P3c3P/4CrN2/4A4/2BcK1BR1,d5h5,黑 4平8,-9400,"g4h4,c5d5,e8f8,h0h4,f7e8,c9c7,e8d7,b8d9,f8f7,h4h8","黑 7平8,黑 3平4,黑 士5平65进6,黑 8退4,红 车,黑 象3进23进3,黑 士5进4,黑 ,黑 6进1,黑 8退4",-9100,"f2f0,g2f0,g4h4,c5d5,e8f8,h0h4,f7e8,c9c7,e8d7,b8d9,f8f7,h4f4,g7f5","红 仕4退24退4,红 马3退4,黑 7平8,黑 3平4,黑 士5平65进6,黑 8退4,红 车,黑 象3进23进3,黑 士5进4,黑 ,黑 6进1,黑 8平6,黑 马7进6",-9300,"d5d7,h0h8,e8e7,b8d7,f7e8,e0d0,f2f0,g2f0,e8d7,a9a7,d7e8","黑 4退2,黑 8退8,黑 士5进15进5,黑 ,红 车,黑 5平4,红 仕4退24退4,红 马3退4,黑 士5进4,黑 1进2,黑 ",-9300
47,C1R2ab2/1N2k4/5an2/p3p3p/2P4r1/6p2/P3c3P/4CrN2/4A4/2BcK1BR1,e0d0,黑 5平4,9500,"e0d0,h5d5,c5d5,f2f0,g2f0,e8e7,b8c6,e7d7,c9d9","黑 5平4,黑 8平4,黑 3平4,红 仕4退24退4,红 马3退4,黑 士5进15进5,黑 ,黑 炮5平4,黑 象3平43进4",9500,"h0h5,f2f0,g2f0,e8e7,c9c7,e7e8,h5h8,e8e9,c7c9,d0d9,c9d9","黑 8退5,红 仕4退24退4,红 马3退4,黑 士5进15进5,黑 象3进23进3,黑 炮5退1,黑 8退3,黑 士5退15退5,黑 3退2,黑 4退9,黑 象3平43进4",9400,"c9c8,e8e7,e0d0,f2f0,e1f0,h5d5,c5d5,f7e8,c8c7,e8d7,c7d7,e7e8,h0h8,e8e9,d7d9","黑 象3进13进3,黑 士5进15进5,黑 5平4,红 仕4退24退4,红 帅,黑 8平4,黑 3平4,红 车,黑 3进1,黑 士5进4,黑 3平4,黑 炮5退1,黑 8退8,黑 士5退15退5,黑 4退2",9200
48,C1R2ab2/1N2k4/5an2/p3p3p/2P4r1/6p2/P3c3P/4CrN2/4A4/2BK2BR1,h5d5,黑 8平4,-9600,"f2f0,g2f0,h5d5,c5d5,e8e7,b8c6,e7d7,c9d9","红 仕4退24退4,红 马3退4,黑 8平4,黑 3平4,黑 士5进15进5,黑 ,黑 炮5平4,黑 象3平43进4",-9600,"h5d5,c5d5,f2f0,g2f0,e8e7,b8c6,e7d7,c9d9","黑 8平4,黑 3平4,红 仕4退24退4,红 马3退4,黑 士5进15进5,黑 ,黑 炮5平4,黑 象3平43进4",-9600,"f2f4,a9a8,e8e7,c9c7","红 仕4进24进4,黑 1进1,黑 士5进15进5,黑 象3进23进3",-9800
49,C1R2ab2/1N2k4/5an2/p3p3p/2Pr5/6p2/P3c3P/4CrN2/4A4/2BK2BR1,c5d5,黑 3平4,9600,"c5d5,f2f0,g2f0,e8e7,b8c6,e7d7,c9d9","黑 3平4,红 仕4退24退4,红 马3退4,黑 士5进15进5,黑 ,黑 炮5平4,黑 象3平43进4",9600,"d0e0,g7h5,c5d5,f2f0,g2f0,e8e7,c9c7,e7e8,a9a8,e8e9,c7c9","黑 4平5,黑 马7进8,黑 3平4,红 仕4退24退4,红 马3退4,黑 士5进15进5,黑 象3进23进3,黑 炮5退1,黑 1进1,黑 士5退15退5,黑 3退2",9400,"e2d2,f2d2,e1d2,e3d3,d0e0,d5h5,a9a8,d3d8,b8a6,d8d7,a6b8,d7d8","黑 5平4,红 仕4平64进6,红 帅,红 兵5平6,黑 4平5,黑 4平8,黑 1进1,黑 4退5,黑 ,黑 4进1,黑 卒,黑 4退1",1108
50,C1R2ab2/1N2k4/5an2/p3p3p/3P5/6p2/P3c3P/4CrN2/4A4/2BK2BR1,f2f0,红 仕4退24退4,-9700,"f2f0,g2f0,e8e7,b8c6,e7d7,c9d9","红 仕4退24退4,红 马3退4,黑 士5进15进5,黑 ,黑 炮5平4,黑 象3平43进4",-9700,"f2f3,h0h8,e8e7,c9c7","红 仕4进14进4,黑 8退8,黑 士5进15进5,黑 象3进23进3",-9800,"e6e5,h0h8,e8e7,c9c7","红 炮5退1,黑 8退8,黑 士5进15进5,黑 象3进23进3",-9800
51,C1R2ab2/1N2k4/5an2/p3p3p/3P5/6p2/P3c3P/4C1N2/4A4/2BK1rBR1,e1f0,红 帅,9700,"g2f0,e8e7,b8c6,e7d7,c9d9","红 马3退4,黑 士5进15进5,黑 ,黑 炮5平4,黑 象3平43进4",9700,"e1f0,g7f5,h0h8,e8e7,c9c7","红 帅,黑 马7进6,黑 8退8,黑 士5进15进5,黑 象3进23进3",9700,"d0d1,f0c0,h0h8,e8e7,g2e3,c0c1,c9c1,f7e8,c1c7,e8d7,c7d7","黑 4退1,红 仕4平74进7,黑 8退8,黑 士5进15进5,红 马3进5,黑 车3退1,黑 象3进83进3,黑 ,黑 3退6,黑 士5进4,黑 3平4",9400
52,C1R2ab2/1N2k4/5an2/p3p3p/3P5/6p2/P3c3P/4C1N2/9/2BK1ABR1,e8e7,黑 5进1,-9800,"e8e7,b8c6,e7d7,c9d9","黑 5进1,黑 ,黑 炮5平4,黑 象3平43进4",-9800,"e3e4,h0h8,e8e7,c9c7","红 兵5进1,黑 8退8,黑 5进1,黑 象3进23进3",-9800,"e3e5,h0h8,e8e7,c9c7","红 兵5进2,黑 8退8,黑 5进1,黑 象3进23进3",-9800
