idx,fen,move_fen,move_qp,score,best_move1_fen,best_move1_qp,best_score1,best_move2_fen,best_move2_qp,best_score2,best_move3_fen,best_move3_qp,best_score3
1,rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR,h2e2,红 炮2平5,26,"g3g4,b7e7,b0c2,b9c7,h0g2,a9b9,a0b0,h9i7,c3c4,h7g7,i0h0,i9h9","红 兵3进1,黑 炮2平5,红 马8进7,黑 马2进3,红 马2进3,黑 车1平2,红 车9平8,黑 马8进9,红 兵7进1,黑 炮8平7,红 车1平2,黑 车9平8",29,"b2e2,b9c7,c3c4,a9b9,b0c2,b7a7","红 炮8平5,黑 马2进3,红 兵7进1,黑 车1平2,红 马8进7,黑 炮2平1",27,"c3c4,g6g5,b2e2,h9g7,b0c2,b9a7,h2g2,g9e7,h0i2,i9h9,i0h0,h7h3,a0b0,a9b9","红 兵7进1,黑 卒7进1,红 炮8平5,黑 马8进7,红 马8进7,黑 马2进1,红 炮2平3,黑 象7进5,红 马2进1,黑 车9平8,红 车1平2,黑 炮8进4,红 车9平8,黑 车1平2",26
2,rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C2C4/9/RNBAKABNR,h7e7,黑 8平5,-34,"h9g7,h0g2,g6g5,b0c2,i9h9,i0h0,h7h3,c3c4,b7e7,b2a2,b9c7,a0b0,a9b9,b0b9","黑 马8进7,红 马2进3,黑 卒7进1,红 马8进7,黑 车9平8,红 车1平2,黑 8进4,红 兵7进1,黑 炮2平5,红 炮8平9,黑 马2进3,红 车9平8,黑 车1平2,红 马8进98进8",-26,"b9c7,h0g2,h9g7,c3c4,g6g5,i0h0,i9h9,b0c2,h7h3,b2b4","黑 马2进3,红 马2进3,黑 马8进7,红 兵7进1,黑 卒7进1,红 车1平2,黑 车9平8,红 马8进7,黑 8进4,红 炮8进2",-29,"h7e7,h0g2,h9g7,i0h0,i9i8,b0c2,i8d8,h0h4,b9c7,c3c4,d8d3,a0a2,a9a8","黑 8平5,红 马2进3,黑 马8进7,红 车1平2,黑 车9进1,红 马8进7,黑 9平4,红 马2进42进2,黑 马2进3,红 兵7进1,黑 4进5,红 车9进2,黑 车1进1",-34
3,rnbakabnr/9/1c2c4/p1p1p1p1p/9/9/P1P1P1P1P/1C2C4/9/RNBAKABNR,h0g2,红 马2进3,35,"h0g2,h9g7,i0h0,i9i8,b0c2,i8d8,g3g4,b9c7,c3c4,d8d5,h0h8,d9e8,h8g8,e7d7,g2f4,d5f5,g8g7,f5f4,g7g9","红 马2进3,黑 马8进7,红 车1平2,黑 车9进1,红 马8进7,黑 9平4,红 兵3进1,黑 马2进3,红 兵7进1,黑 4进3,红 马2进82进2,黑 士4进5,黑 8平7,黑 炮5平4,黑 ,黑 4平6,黑 7进1,黑 6进1,黑 7退2",35,"b0c2,h9g7,h0g2,i9h9,i0i1,b9c7,b2a2,h9h3,a0b0,h3g3","红 马8进7,黑 马8进7,红 马2进3,黑 车9平8,红 车1进1,黑 马2进3,红 炮8平9,黑 马8进68进8,红 车9平8,黑 8平7",25,"i0i1,h9g7,h0g2,i9h9,i1d1,h9h5,b0c2,b9c7,d1d6","红 车1进1,黑 马8进7,红 马2进3,黑 车9平8,黑 9平4,黑 马8进48进8,红 马8进7,黑 马2进3,黑 4退5",22
4,rnbakabnr/9/1c2c4/p1p1p1p1p/9/9/P1P1P1P1P/1C2C1N2/9/RNBAKAB1R,h9g7,黑 ,-38,"h9g7,i0h0,i9i8,b0c2,i8d8,g3g4,b9a7,h0h5,d8d4,h5f5,a9a8,b2a2,a8d8,a0b0","黑 ,红 车1平2,黑 车9进1,红 马8进7,黑 9平4,红 兵3进1,黑 马2进1,红 马2进52进2,黑 4进4,黑 8平6,黑 车1进1,红 炮8平9,黑 1平4,红 车9平8",-38,"i9i8,b0c2,i8d8,i0h0,h9g7,g3g4,d8d5,h0h6,b9c7","黑 车9进1,红 马8进7,黑 9平4,红 车1平2,黑 ,红 兵3进1,黑 4进3,红 马2进62进2,黑 马2进3",-41,"b9c7,i0h0,h9g7,b0c2,i9i8,c3c4,i8d8,g3g4,d8d5,g2f4,d5f5","黑 马2进3,红 车1平2,黑 ,红 马8进7,黑 车9进1,红 兵7进1,黑 9平4,红 兵3进1,黑 4进3,黑 ,黑 4平6",-44
5,rnbakab1r/9/1c2c1n2/p1p1p1p1p/9/9/P1P1P1P1P/1C2C1N2/9/RNBAKAB1R,i0h0,红 车1平2,40,"i0h0,i9i8,b0c2,b9a7,g3g4,i8d8,h0h5,d8d4,h5f5,d4g4,g2f4","红 车1平2,黑 车9进1,红 马8进7,黑 马2进1,红 兵3进1,黑 9平4,黑 8退5,黑 4进4,黑 8平6,黑 4平7,红 马3进4",40,"g3g4,i9h9,b0c2,c6c5,b2a2,b9a7,a0b0,a9b9,i0i1,b7b3","红 兵3进1,黑 车9平8,红 马8进7,黑 卒3进1,红 炮8平9,黑 马2进1,红 车9平8,黑 车1平2,红 车1进1,黑 炮2进4",26,"i0i1,i9h9,b0c2,b9c7,i1d1,h9h5,d1d8,c6c5,a0a1,h5d5,d8b8","红 车1进1,黑 车9平8,红 马8进7,黑 马2进3,黑 9平4,黑 8进4,黑 4退7,黑 卒3进1,红 车9进1,黑 8平4,黑 4平2",25
6,rnbakab1r/9/1c2c1n2/p1p1p1p1p/9/9/P1P1P1P1P/1C2C1N2/9/RNBAKABR1,i9i8,黑 9进1,-41,"i9i8,b0c2,i8d8,g3g4,b9a7,g2f4,b7c7,h0h5,a9b9,a0b0,d8d4,f4e6,g7e6,e2e6,d9e8,b2b6,d4d2,b0b2","黑 9进1,红 马8进7,黑 9平4,红 兵3进1,黑 马2进1,红 马3进4,黑 炮2平3,黑 8退5,黑 车1平2,红 车9平8,黑 4进4,黑 ,黑 马7进5,红 炮5进4,黑 士4进5,红 炮8进4,黑 4进2,红 马8进28进8",-41,"g6g5,c3c4,b9c7,b0c2,a9a8,b2b4,a8d8,g3g4,c6c5,c4c5,g5g4,c5c6,c7e8","黑 卒7进1,红 兵7进1,黑 马2进3,红 马8进7,黑 车1进1,红 炮8进2,黑 1平4,红 兵3进1,黑 卒3进1,黑 3退1,黑 7进1,黑 3退1,黑 ",-44,"b9c7,c3c4,g6g5,b0c2,i9i8,h0h4,a9a8,a0a1,i8h8,h4h8,a8h8,a1d1","黑 马2进3,红 兵7进1,黑 卒7进1,红 马8进7,黑 9进1,黑 8退4,黑 车1进1,红 车9进1,黑 9平8,黑 8退4,黑 1平8,黑 1平4",-46
7,rnbakab2/8r/1c2c1n2/p1p1p1p1p/9/9/P1P1P1P1P/1C2C1N2/9/RNBAKABR1,c3c4,红 兵7进1,32,"b0c2,i8d8,g3g4,b9a7,g2f4,d8d4,f4e6,g7e6,e2e6,d9e8,c0e2,b7d7,a0b0,d4d6,e6e4","红 马8进7,黑 9平4,红 兵3进1,黑 马2进1,红 马3进4,黑 4进4,黑 ,黑 马7进5,红 炮5进4,黑 士4进5,红 相7进5,黑 炮2平4,红 车9平8,黑 4退2,黑 卒5进2",40,"g3g4,i8d8,b0c2,d8d3,e2f2,e6e5,c0e2,b9c7,d0e1,d3c3,g2f4","红 兵3进1,黑 9平4,红 马8进7,黑 4进5,红 炮5平4,黑 卒5进1,红 相7进5,黑 马2进3,红 仕6进5,黑 4平3,红 马3进4",39,"c3c4,i8d8,b0c2,b9a7,h0h6,d8d3,e2f2,b7c7,c0e2,c6c5,c4c5,a9b9,a0b0","红 兵7进1,黑 9平4,红 马8进7,黑 马2进1,黑 8退6,黑 4进5,红 炮5平4,黑 炮2平3,红 相7进5,黑 卒3进1,黑 3退1,黑 车1平2,红 车9平8",32
8,rnbakab2/8r/1c2c1n2/p1p1p1p1p/9/2P6/P3P1P1P/1C2C1N2/9/RNBAKABR1,g6g5,黑 卒7进1,-53,"b7c7,b0c2,i8d8,h0h4,d8d3,c2d4,b9a7,d0e1,a9b9,b2d2,c7d7,h4f4","黑 炮2平3,红 马8进7,黑 9平4,黑 8退4,黑 4进5,黑 ,黑 马2进1,红 仕6进5,黑 车1平2,红 炮8平6,黑 3平4,黑 8平6",-33,"i8d8,b0c2,b9a7,h0h6,a9a8,b2a2,b7c7,h6g6,a8b8,g3g4","黑 9平4,红 马8进7,黑 马2进1,黑 8退6,黑 车1进1,红 炮8平9,黑 炮2平3,黑 8平7,黑 1平2,红 兵3进1",-34,"b9c7,b0c2,i8d8,g3g4,b7a7,a0b0,a9b9,b2b6,d8d2,b0b2,d2d5,h0h4","黑 马2进3,红 马8进7,黑 9平4,红 兵3进1,黑 炮2平1,红 车9平8,黑 车1平2,红 炮8进4,黑 4进6,红 马8进28进8,黑 4退3,黑 8退4",-43
9,rnbakab2/8r/1c2c1n2/p1p1p3p/6p2/2P6/P3P1P1P/1C2C1N2/9/RNBAKABR1,b0c2,红 马8进7,50,"b0c2,c6c5,c4c5,i8c8,c2d4,c8c5,d4b3,c5c7","红 马8进7,黑 3进1,黑 3退1,黑 9平3,黑 ,黑 3进3,黑 ,黑 卒3退2",50,"h0h4,b9c7,b0c2,a9a8,a0a1,i8h8,h4d4,a8f8,d0e1,g7f5,d4f4","黑 8退4,黑 马2进3,红 马8进7,黑 车1进1,红 车9进1,黑 9平8,黑 8平4,黑 1平6,红 仕6进5,黑 马7进6,黑 4平6",47,"h0h6,i8d8,b0c2,b9c7,b2a2,a9b9,h6g6,e7e8,a0b0,d8d7,b0b6,b7a7,b6b9,c7b9,g6g5,b9c7,g5g4,d7d3,g2e1,g7f5","黑 8退6,黑 9平4,红 马8进7,黑 马2进3,红 炮8平9,黑 车1平2,黑 8平7,黑 炮5退1,红 车9平8,黑 4进1,红 马8进68进8,黑 炮2平1,黑 2退3,黑 ,黑 卒7进1,黑 马2进3,黑 7进1,黑 4进4,红 马3退5,黑 马7进6",33
10,rnbakab2/8r/1c2c1n2/p1p1p3p/6p2/2P6/P3P1P1P/1CN1C1N2/9/R1BAKABR1,i8d8,黑 9平4,-53,"c6c5,c4c5,i8c8,c2d4,c8c5,d4b3,c5c7,b2b7,c7b7,b3c5,b7c7","黑 3进1,黑 3退1,黑 9平3,黑 ,黑 3进3,黑 ,黑 卒3退2,红 炮8进5,黑 马3平23进2,黑 ,黑 炮2平3",-33,"b9c7,h0h4,a9a8,a0a1,i8d8,g3g4,g5g4,h4g4,e7e8,c2d4","黑 ,黑 8退4,黑 车1进1,红 车9进1,黑 9平4,黑 7退1,黑 7进1,黑 8平7,黑 炮5退1,黑 ",-44,"b9a7,h0h4,c6c5,a0a2,b7c7,c2b4,i8c8,a2a0,c7c4,c0a2,c4c3","黑 ,黑 8退4,黑 3进1,红 车9进2,黑 炮2平3,黑 ,黑 9平3,黑 1进2,黑 马3进33进3,红 相7进9,黑 3进1",-53
