idx,fen,move_fen,move_qp,score,best_move1_fen,best_move1_qp,best_score1,best_move2_fen,best_move2_qp,best_score2,best_move3_fen,best_move3_qp,best_score3
1,rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR,h2e2,红 炮2平5,27,"b2e2,b9c7,b0c2,a9b9,a0b0,g6g5,b0b4,h9g7,g3g4,g5g4,b4g4,h7h8,h2g2,h8g8","红 炮8平5,黑 马2进3,红 马8进7,黑 车1平2,红 车9平8,黑 卒7进1,红 马8进48进8,黑 马8进7,红 兵3进1,黑 7进1,黑 2平7,黑 炮8退1,红 炮2平3,黑 8平7",34,"h2e2,h9g7,h0g2,g6g5,i0h0,i9h9,h0h6,c9e7,b0c2,h7i7","红 炮2平5,黑 马8进7,红 马2进3,黑 卒7进1,红 车1平2,黑 车9平8,红 马2进62进2,黑 象3进5,红 马8进7,黑 炮8平9",27,"g3g4,c6c5,b0a2,b9c7,h0g2,h7g7,g2f4","红 兵3进1,黑 卒3进1,红 马8进9,黑 马2进3,红 马2进3,黑 炮8平7,黑 ",26
2,rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C2C4/9/RNBAKABNR,h9g7,黑 马8进7,-24,"h9g7,h0g2,i9h9,g3g4,c6c5,b2c2,b9c7,i0h0,c7b5","黑 马8进7,红 马2进3,黑 车9平8,红 兵3进1,黑 卒3进1,红 炮8平7,黑 马2进3,红 车1平2,黑 ",-24,"h7e7,h0g2,h9g7,i0h0,i9i8,c3c4,i8d8,b0c2,b9a7,h0h5,d8d3,g3g4,d3c3,h5b5","黑 8平5,红 马2进3,黑 马8进7,红 车1平2,黑 车9进1,红 兵7进1,黑 9平4,红 马8进7,黑 马2进1,红 马2进52进2,黑 4进5,红 兵3进1,黑 4平3,黑 8平2",-34,"b9c7,h0g2,h9g7,i0h0,i9h9,c3c4,g6g5,h0h6,h7i7,h6g6,h9h7,b0c2,c9e7,c2d4","黑 马2进3,红 马2进3,黑 马8进7,红 车1平2,黑 车9平8,红 兵7进1,黑 卒7进1,红 马2进62进2,黑 8平9,黑 8平7,黑 马8进28进8,红 马8进7,黑 象3进5,黑 ",-35
3,rnbakab1r/9/1c4nc1/p1p1p1p1p/9/9/P1P1P1P1P/1C2C4/9/RNBAKABNR,h0g2,黑 ,27,"h0g2,c6c5,i0h0,i9h9,h0h4,b9c7","黑 ,黑 卒3进1,红 车1平2,黑 车9平8,黑 8退4,黑 马2进3",27,"b2d2,b9c7,h0g2,a9a8,i0h0,a8d8,f0e1,i9h9,c3c4","红 炮8平6,黑 马2进3,黑 ,黑 车1进1,红 车1平2,黑 1平4,红 仕4进5,黑 车9平8,红 兵7进1",23,"g3g4,i9h9,h0g2,h7i7,b0c2,c6c5,b2b6,b9c7,b6g6,a9b9","红 兵3进1,黑 车9平8,黑 ,黑 8平9,红 马8进7,黑 卒3进1,红 炮8进4,黑 马2进3,黑 2平7,黑 车1平2",23
4,rnbakab1r/9/1c4nc1/p1p1p1p1p/9/9/P1P1P1P1P/1C2C1N2/9/RNBAKAB1R,i9h9,黑 车9平8,-24,"c6c5,b0a2,b9c7,i0h0,i9h9,h0h6","黑 卒3进1,红 马8进9,黑 马2进3,红 车1平2,黑 车9平8,黑 8退6",-24,"i9h9,i0h0,c6c5,b0a2,b9c7,g3g4,a9a8,b2d2,c7b5,g2f4,a8d8","黑 车9平8,红 车1平2,黑 卒3进1,红 马8进9,黑 马2进3,红 兵3进1,黑 车1进1,红 炮8平6,黑 ,红 马3进4,黑 1平4",-24,"g6g5,i0h0,i9h9,h0h6,b9c7,c3c4,h7i7,h6g6,h9h7,b2c2","黑 卒7进1,红 车1平2,黑 车9平8,黑 8退6,黑 马2进3,红 兵7进1,黑 8平9,黑 8平7,黑 8进2,红 炮8平7",-28
5,rnbakabr1/9/1c4nc1/p1p1p1p1p/9/9/P1P1P1P1P/1C2C1N2/9/RNBAKAB1R,i0h0,黑 9平8,26,"g3g4,h7i7,b0c2,c6c5,b2b6,b9c7,b6c6,a9b9,a0b0","红 兵3进1,黑 8平9,红 马8进7,黑 卒3进1,红 炮8进4,黑 马2进3,黑 2平3,黑 车1平2,红 车9平8",30,"i0h0,b9c7,g3g4,c6c5,b0a2,a9a8,b2d2,c7b5","黑 9平8,黑 马2进3,红 兵3进1,黑 卒3进1,红 马8进9,黑 车1进1,红 炮8平6,黑 ",26,"b0c2,c6c5,i0h0,b9c7,g3g4,h7h3,g2f4,c9e7,g4g5,h3c3,h0h9,g7h9,g5g6,d9e8","红 马8进7,黑 卒3进1,黑 9平8,黑 马2进3,红 兵3进1,黑 8进4,红 马3进4,黑 象3进5,黑 7退1,黑 8平3,红 车2进9,黑 马7退8,黑 7退1,黑 士4进5",23
6,rnbakabr1/9/1c4nc1/p1p1p1p1p/9/9/P1P1P1P1P/1C2C1N2/9/RNBAKABR1,h7h3,黑 8进4,-43,"b9c7,c3c4,g6g5,h0h6,h7i7,h6h9,g7h9,b0c2,b7b3,a0a1,b3c3,a1h1,c3c0,d0e1","黑 马2进3,红 兵7进1,黑 卒7进1,红 车2进6,黑 8平9,黑 8退3,黑 马7退8,红 马8进7,黑 炮2进4,红 车9进1,黑 2平3,黑 1平8,红 兵7退3,红 仕6进5",-27,"c6c5,h0h4,b9c7,c3c4,c5c4,h4c4,g6g5,b0c2,b7b8,g3g4,b8c8,c4b4,g5g4,b4g4,g7f5,c2b4,h7f7,g2f4,c9e7,f4d5","黑 卒3进1,红 车2进4,黑 马2进3,红 兵7进1,黑 3进1,黑 8平3,黑 卒7进1,红 马8进7,黑 炮2退1,红 兵3进1,黑 2平3,黑 3平2,黑 7进1,黑 2平7,黑 马7进6,黑 ,黑 8平6,红 马3进4,黑 象3进5,黑 ",-27,"g6g5,h0h6,b9c7,b0c2,c6c5,a0a1,b7b6,h6h4,h7i7","黑 卒7进1,红 车2进6,黑 马2进3,红 马8进7,黑 卒3进1,红 车9进1,黑 炮2进1,黑 8进2,黑 8平9",-28
7,rnbakabr1/9/1c4n2/p1p1p1p1p/9/9/P1P1P1PcP/1C2C1N2/9/RNBAKABR1,g3g4,红 兵3进1,46,"g3g4,b7e7,b0a2,b9c7,c3c4,a9b9,a0b0,b9b4,a3a4,b4a4,b2c2,a4c4,c2c1,c6c5,e2e1","红 兵3进1,黑 炮2平5,红 马8进9,黑 马2进3,红 兵7进1,黑 车1平2,红 车9平8,黑 马2进52进2,红 兵9进1,黑 2平1,红 炮8平7,黑 1平3,黑 3进1,黑 卒3进1,黑 5进1",46,"c3c4,g6g5,b2b4,b7c7,b4a4,b9a7,g3g4,g5g4,a4g4,g9e7,b0c2,a9a8,g2f4,a8f8,f4e6","红 兵7进1,黑 卒7进1,红 炮8进2,黑 炮2平3,黑 2平1,黑 马2进1,红 兵3进1,黑 7进1,黑 1平7,黑 象7进5,红 马8进7,黑 车1进1,红 马3进4,黑 1平6,黑 ",26,"b2b6,b9c7,g3g4,a9a8,b0c2,a8f8,c3c4,f8f5,c2d4,f5d5","红 炮8进4,黑 马2进3,红 兵3进1,黑 车1进1,红 马8进7,黑 1平6,红 兵7进1,黑 6进3,黑 ,黑 6平4",24
8,rnbakabr1/9/1c4n2/p1p1p1p1p/9/6P2/P1P1P2cP/1C2C1N2/9/RNBAKABR1,b7e7,黑 炮2平5,-45,"b7e7,b2c2,a9a8,c3c4,a8d8,b0a2,d8d2","黑 炮2平5,红 炮8平7,黑 车1进1,红 兵7进1,黑 1平4,红 马8进9,黑 4进6",-45,"b9c7,c3c4,b7b4,b0c2,b4g4,g2f4,a9b9,f4d5,b9b3,d5c7,g4g2,c2d4,b3b2,a0a1","黑 马2进3,红 兵7进1,黑 炮2进3,红 马8进7,黑 2平7,红 马3进4,黑 车1平2,黑 ,黑 马2进62进2,黑 ,黑 7进2,黑 ,黑 2进1,红 车9进1",-60,"b7b3,b0a2,b9c7,a3a4,b3a3,a0b0,a9b9,g2f4","黑 炮2进4,红 马8进9,黑 马2进3,红 兵9进1,黑 2平1,红 车9平8,黑 车1平2,红 马3进4",-65
9,rnbakabr1/9/4c1n2/p1p1p1p1p/9/6P2/P1P1P2cP/1C2C1N2/9/RNBAKABR1,c3c4,红 兵7进1,39,"a0a1,b9c7,c3c4,h9h5,a1d1,a9b9,b0c2,c6c5,g2f4,c5c4","红 车9进1,黑 马2进3,红 兵7进1,黑 车8进4,黑 1平4,黑 车1平2,红 马8进7,黑 卒3进1,红 马3进4,黑 3进1",40,"c3c4,b9c7,b0a2,a9b9,a0b0,b9b5,b2c2,b5h5,c2c6,c9a7","红 兵7进1,黑 马2进3,红 马8进9,黑 车1平2,红 车9平8,黑 马2进42进2,黑 2平3,黑 2平8,黑 3退4,黑 象3进1",39,"g2f4,b9c7,f4d5,a9b9,b0c2,b9b7,c3c4,c6c5,d5e7,g9e7,c4c5,e7c5,a0a2,h3h2,c2b4,h2b2","红 马3进4,黑 马2进3,黑 ,黑 车1平2,红 马8进7,黑 马2进22进2,红 兵7进1,黑 卒3进1,黑 ,黑 象7进5,黑 3退1,黑 炮,红 车9进2,黑 8进1,黑 ,黑 8平2",38
10,rnbakabr1/9/4c1n2/p1p1p1p1p/9/2P3P2/P3P2cP/1C2C1N2/9/RNBAKABR1,a9a8,黑 车1进1,-51,"b9c7,b2c2,a9b9,c2c6,b9b1,c6c9,d9e8,c4c5,c7a8,c9c6,e7c7,g2f4,g9e7,g4g5,g6g5,h0h3,h9h3,f4h3,g5g4,e2g2,g4g3,g2g7,c7g7","黑 马2进3,黑 2平3,黑 车1平2,黑 3退4,黑 马2进82进2,黑 3退3,黑 士4进5,黑 3退1,黑 ,黑 象3进33进3,黑 炮5平3,红 马3进4,黑 象7进5,黑 7退1,黑 7进1,红 车2进3,黑 车8进6,黑 ,黑 卒7进1,红 炮5平3,黑 7进1,红 马3进53进3,黑 3平7",-48,"a9a8,b0c2,a8h8,g2f4,h3h2,f4e6,h2c2,h0h8,h9h8,e6g7,h8b8,b2a2,b8b3,e3e4,b9c7,e4e5","黑 车1进1,红 马8进7,黑 1平8,红 马3进4,黑 8进1,黑 ,黑 8平3,红 车2进8,黑 车8进1,黑 卒,黑 8平2,黑 2平1,黑 2进5,红 兵5进1,黑 马2进3,黑 5退1",-51,"a9a7,b0c2,a7d7,b2b8,d7d5,a0b0,g6g5,g4g5,d5g5","黑 车1进2,红 马8进7,黑 1平4,黑 2退6,黑 4进2,红 车9平8,黑 7进1,黑 7退1,黑 4平7",-64
11,1nbakabr1/r8/4c1n2/p1p1p1p1p/9/2P3P2/P3P2cP/1C2C1N2/9/RNBAKABR1,b2b7,黑 2退5,33,"a0a1,a8h8,g0i2,h8h5,a1d1,g6g5,g4g5,h5g5,g2f4,g5g3,f4h3,e7e3,d0e1","黑 1退1,黑 1平8,红 相3进1,黑 8进3,红 车9平6,黑 7进1,黑 7退1,黑 8平7,红 马3进4,黑 卒7进2,黑 ,黑 炮5进4,红 仕6进5",49,"b0c2,a8h8,g0i2,c6c5,c4c5,h8c8,c2b4,c8c5,b2b9,c5b5,b4c2,b5b9,c2d4","红 马8进7,黑 1平8,红 相3进1,黑 3进1,黑 3退1,黑 8平3,黑 ,黑 3进3,黑 2退7,黑 卒3平2,黑 ,黑 2退4,黑 ",47,"a0a2,a8h8,b2b7,b9c7,b7e7,h3g3,e7f7,h8h0,g2h0,h9h0","黑 1退2,黑 1平8,黑 2退5,黑 马2进3,黑 炮2平5,黑 8平7,黑 炮5平6,黑 8进8,红 马3退2,黑 车8进9",44
12,1nbakabr1/r8/1C2c1n2/p1p1p1p1p/9/2P3P2/P3P2cP/4C1N2/9/RNBAKABR1,b9c7,黑 马2进3,-33,"b9c7,b7e7,g9e7,a0a1,h3g3,a1f1,h9h0,g2h0,a8h8,f1f3,g3g1,h0i2,g1b1,f3f1,b1b3,b0c2,b3c3,c0a2,h8h5,f1f6,g6g5,f6g6,g7i8","黑 马2进3,黑 2平5,黑 象7进5,黑 1退1,黑 8平7,红 车9平4,黑 车8进9,红 马3退2,黑 1平8,黑 6退2,红 兵3退2,红 车,黑 7平2,黑 6进2,黑 2退2,红 马8进7,黑 2平3,红 相7进9,黑 8进3,黑 6退5,黑 7进1,黑 6平7,黑 马7退9",-33,"e7e8,b0c2,c6c5,c4c5,a8c8,a0a2,c8c5,b7b1,c9e7,a2b2,b9a7,b1c1,c5d5,b2b7,d5d1","黑 炮5退1,红 马8进7,黑 3进1,黑 3退1,黑 1平3,黑 1退2,黑 3进3,黑 2进6,黑 象3进5,黑 1平2,黑 马2进1,黑 2平3,黑 卒3平4,黑 炮2退5,黑 4进4",-77,"a8g8,b0c2,b9c7,b7e7,g9e7,a0b0,g8h8,b0b7,h3g3,h0h8,g3g0,f0e1,h9h8,b7c7,g0i0,e1f2,h8h0,e0e1,h0h1,e1e0","黑 1平7,红 马8进7,黑 马2进3,黑 2平5,黑 象7进5,黑 1平2,黑 7平8,红 马8进78进8,黑 8平7,红 车2进8,红 兵3退3,红 仕4进5,黑 车8进1,黑 2平3,红 相3平13进1,黑 ,黑 8进8,红 帅5进1,红 车2进1,黑 5进1",-88
13,2bakabr1/r8/1Cn1c1n2/p1p1p1p1p/9/2P3P2/P3P2cP/4C1N2/9/RNBAKABR1,b7e7,黑 2平5,29,"b7e7,g9e7,b0c2,h3g3,a0b0,a8h8,h0i0,h8f8,b0b7,f8f2,g2i1","黑 2平5,黑 象7进5,黑 ,黑 8平7,黑 1平2,黑 1平8,红 车2平1,黑 8平6,黑 2退7,黑 6进6,红 马3退1",29,"g2i1,h3h4,b7e7,g9e7,a0a1,a8h8,a1c1,h4h2,i1g2,g6g5,g4g5","红 马3退1,黑 8退1,黑 2平5,黑 象7进5,黑 1退1,黑 1平8,红 车9平7,黑 8进2,黑 ,黑 7进1,黑 7退1",9,"b7b4,h3g3,f0e1,a8b8,b0c2,h9h0,g2h0,b8b5,h0i2,g3h3,e2g2,c6c5,c4c5,b5c5,c0e2,c7d5,b4b1,d5e3","黑 2进3,黑 8平7,红 仕4进5,黑 1平2,黑 ,黑 车8进9,红 马3退2,黑 2进3,红 车,红 兵3平2,红 炮5平3,黑 3进1,黑 3退1,黑 2平3,红 相7进5,黑 ,黑 2进3,黑 ",-54
14,2bakabr1/r8/2n1C1n2/p1p1p1p1p/9/2P3P2/P3P2cP/4C1N2/9/RNBAKABR1,g9e7,黑 象7进5,-33,"g9e7,a0a1,h3g3,a1f1,h9h0,g2h0,a8h8,f1f3","黑 象7进5,黑 1退1,黑 8平7,红 车9平4,黑 车8进9,红 马3退2,黑 1平8,黑 6退2",-33,"c9e7,b0c2,a8h8,g2f4,h3h4,f4g6,h4c4,h0h8,h9h8,a0b0","黑 象3进5,黑 ,黑 1平8,红 马3进4,黑 8退1,黑 ,黑 8平3,红 车2进8,黑 车8进1,黑 1平2",-42,"c6c5,e7f7,a8f8,f7d7,f8d8,d7f7,c5c4","黑 3进1,黑 炮5平6,黑 1平6,黑 6平4,黑 6平4,黑 4平6,黑 卒3进1",-144
15,2baka1r1/r8/2n1b1n2/p1p1p1p1p/9/2P3P2/P3P2cP/4C1N2/9/RNBAKABR1,b0c2,黑 ,38,"b0c2,a8f8,a0b0,f8f3,c2d4,f3g3,d4f5,g3g2,f5g7,h9h7,b0b7,g2g3,b7c7","黑 ,黑 1平6,黑 1平2,黑 6进5,红 马7进6,黑 6平7,黑 ,红 兵3退1,黑 ,黑 车8进2,黑 2退7,红 马3进13进3,黑 2平3",38,"g2f4,a8f8,f4d5,f8c8,c4c5,c7a8,c5b5,c8b8,b0a2,b8b5,a2c3,b5b3,d5f6,h9h8,c3e4,b3e3,a0b0,e6e5,f6d7,h8d8,d7e5,e3e4,e5g6,h3g3,g6e7","红 马3进4,黑 1平6,黑 ,黑 6平3,黑 3退1,黑 ,黑 卒3平2,黑 3平2,黑 ,黑 2进3,黑 ,黑 2进2,黑 ,黑 车8进1,红 兵,黑 2平5,黑 1平2,黑 卒5进1,黑 ,黑 8平4,黑 ,红 兵5进1,黑 ,黑 8平7,黑 ",32,"a0a1,a8f8,b0c2,f8f3,c2d4,f3g3,d4f5,g3g2,f5g7,h9h7,g7e6,g2g3,e3e4,c7e6,e2e6,d9e8,a1d1,g3g4,e4e5","黑 1退1,黑 1平6,黑 ,黑 6进5,红 马7进6,黑 6平7,黑 ,红 兵3退1,黑 ,黑 车8进2,黑 马7进5,红 马3进13进3,红 兵5进1,黑 ,红 相5进45进5,黑 士4进5,红 车9平6,红 兵3进1,黑 5退1",26
16,2baka1r1/r8/2n1b1n2/p1p1p1p1p/9/2P3P2/P3P2cP/2N1C1N2/9/R1BAKABR1,a8f8,黑 1平6,-41,"a8h8,a0b0,h3g3,h0i0,h8h1,b0b7,g7e8,e3e4,h9h3,c2e3,h1c1,e4e5,e6e5,e2e5","黑 1平8,黑 1平2,黑 8平7,红 车2平1,黑 8进7,黑 2退7,黑 马7退5,红 兵5进1,黑 车8进6,红 马7进5,黑 8平3,黑 5退1,黑 卒5进1,红 相5进35进5",-38,"h3g3,a0b0,a8h8,h0i0,h8h1,b0b7,g7e8,e3e4,h9h3,c2e3,h1c1,e4e5,e6e5,e3d5,g3c3","黑 8平7,黑 1平2,黑 1平8,红 车2平1,黑 8进7,黑 2退7,黑 马7退5,红 兵5进1,黑 车8进6,红 马7进5,黑 8平3,黑 5退1,黑 卒5进1,红 兵,红 兵3平7",-39,"a8f8,a0b0,f8f3,c2d4,f3g3,d4f5,g3g2,f5g7,h9h7,b0b7,g2g3","黑 1平6,黑 1平2,黑 6进5,红 马7进6,黑 6平7,黑 ,红 兵3退1,黑 ,黑 车8进2,黑 2退7,红 马3进13进3",-41
17,2baka1r1/5r3/2n1b1n2/p1p1p1p1p/9/2P3P2/P3P2cP/2N1C1N2/9/R1BAKABR1,d0e1,红 仕6进5,-16,"a0b0,f8f2,h0h2,h3g3,h2h9,g7h9,g2i1,f2f4,b0b7,f4c4","黑 1平2,黑 6进6,红 车2进2,黑 8平7,黑 8退7,黑 马7退8,红 马3退1,黑 6退2,黑 2退7,黑 6平3",51,"a0a1,f8f3,a1d1,f3g3,h0h2,f9e8,d1f1,g6g5,g4g5,g3g5,g2f4,h3h4,h2g2,g5g2,f4g2,h9h5,g2h4,h5h4,c0a2","黑 1退1,黑 6进5,黑 1平4,黑 6平7,红 车2进2,黑 士6进5,黑 4平6,黑 7进1,黑 7退1,红 兵3进2,红 马3进4,黑 8退1,黑 8平7,黑 卒7进3,黑 ,黑 车8进4,红 马3进2,黑 8进1,红 相7进9",34,"c2d4,f8f2,g2i1,h3h5,d4c6,f2f1,i1g2,f1g1,h0h2,h5a5,h2h9,a5a0,h9h7,g1g2,h7g7","红 马7进6,黑 6进6,红 马3退1,黑 8退2,黑 ,黑 6进1,黑 ,红 车4平3,红 车2进2,黑 8平1,黑 8退7,黑 1进5,黑 车8进2,黑 7退1,黑 8平7",24
18,2baka1r1/5r3/2n1b1n2/p1p1p1p1p/9/2P3P2/P3P2cP/2N1C1N2/4A4/R1B1KABR1,h3g3,黑 8平7,12,"h3g3,a0b0,f8f4,e2f2,h9h0,g2h0,f4c4,c0e2,c4c5,b0b7,c7e8,c2b4","黑 8平7,黑 1平2,黑 6进4,红 相5平45进4,黑 车8进9,红 马3退2,黑 6平3,红 相7进5,黑 3退1,黑 2退7,黑 马3退5,红 马7进8",12,"f8f1,e2d2,h3g3,a0b0,e6e5,b0b6,c7e6,b6c6,g6g5,c2d4,g5g4,d2d1,h9h0,g2h0","黑 6进7,红 相5平65进6,黑 8平7,黑 1平2,黑 卒5进1,黑 2退6,黑 马3进5,黑 2平3,黑 7进1,红 马7进6,黑 卒7进1,黑 4进1,黑 车8进9,红 马3退2",1,"f8f5,a0b0,g6g5,b0b7,g5g4,b7c7","黑 6进3,黑 1平2,黑 7进1,黑 2退7,黑 卒7进1,黑 2平3",1
19,2baka1r1/5r3/2n1b1n2/p1p1p1p1p/9/2P3P2/P3P1c1P/2N1C1N2/4A4/R1B1KABR1,a0b0,黑 1平2,-12,"a0b0,f8f4,e2f2,f4g4,c0e2,g4h4,h0h4,h9h4,g0i2,g6g5,b0b6,c7e8,b6c6,e8g9,c6d6,f9e8,c2d4","黑 1平2,黑 6进4,红 相5平45进4,黑 6平7,红 相7进5,黑 7平8,红 车2进4,黑 车8进5,黑 ,红 炮3退1,黑 2退6,黑 马3退5,黑 2平3,黑 士5退7,黑 3平4,黑 士6进5,红 马7进6",-12,"e2d2,f8h8,h0i0,e6e5,c2d4,g7e6,d4c6,h8d8,c0e2","红 相5平65进6,黑 6平8,红 车2平1,黑 卒5进1,红 马7进6,黑 马7进5,黑 ,黑 8平4,红 相7进5",-15,"g0i2,h9h0,g2h0,f8f4,e3e4,g3h3,a0b0,f4e4,h0g2,e4g4,b0b3,g4c4,b3h3,c4c2,h3h7","黑 ,黑 车8进9,红 马3退2,黑 6进4,红 兵5进1,红 兵3平2,黑 1平2,黑 6平5,红 车,黑 5平7,黑 2退3,黑 7平3,黑 2平8,黑 3进2,黑 8退4",-24
20,2baka1r1/5r3/2n1b1n2/p1p1p1p1p/9/2P3P2/P3P1c1P/2N1C1N2/4A4/1RB1KABR1,f8f1,黑 6进7,10,"f8f4,e2f2,f4g4,c0e2,g4h4,b0b7,c7e8,b7d7,e8g9,h0h4,h9h4,d7d4,h4d4,c2d4,g6g5,g0i2,g3a3,d4c6,f9e8,c6d4,a3a4,d4c6,g9h7,f2f1","黑 6进4,红 相5平45进4,黑 6平7,红 相7进5,黑 7平8,黑 2退7,黑 马3退5,黑 2平4,黑 士5退7,红 车2进4,黑 车8进5,黑 4进3,黑 8平4,红 马7进6,红 炮3退1,黑 ,红 兵3平9,黑 ,黑 士6进5,黑 ,红 兵9进1,黑 ,黑 象7进8,黑 6进1",18,"f8f1,e2d2,e6e5,c2d4,h9h0,g2h0,f1h1,d4f5,h1h0,c0e2,h0h3","黑 6进7,红 相5平65进6,黑 卒5进1,红 马7进6,黑 车8进9,红 马3退2,红 车4平2,黑 ,黑 8进1,红 相7进5,红 车2进3",10,"h9h0,g2h0,f8f4,e2f2,f4c4,c0e2,c4c3,h0i2,g3f3,i3i4,e6e5,i2h4","黑 车8进9,红 马3退2,黑 6进4,红 相5平45进4,黑 6平3,红 相7进5,黑 3进1,红 车,红 兵3平4,红 兵1进1,黑 卒5进1,黑 ",1
21,2baka1r1/9/2n1b1n2/p1p1p1p1p/9/2P3P2/P3P1c1P/2N1C1N2/4Ar3/1RB1KABR1,b0b7,黑 2退7,-30,"e2d2,e6e5,b0b7,c7e6,c2d4,g6g5,d4c6,g5g4,c6d8,f1f3,g0e2","红 相5平65进6,黑 卒5进1,黑 2退7,黑 马3进5,红 马7进6,红 炮3退1,黑 ,黑 卒7进1,黑 ,黑 6退2,黑 ",-8,"h0i0,h9h5,b0b7,g7e8,c2b4,f1f4,b4a6,f4c4,c0a2","红 车2平1,黑 车8进4,黑 2退7,黑 马7退5,红 马7进8,黑 6退3,黑 ,黑 6平3,红 相7进9",-23,"b0b7,h9h0,g2h0,f1g1","黑 2退7,黑 车8进9,红 马3退2,黑 6平7",-30
