idx,fen,move_fen,move_qp,score,best_move1_fen,best_move1_qp,best_score1,best_move2_fen,best_move2_qp,best_score2,best_move3_fen,best_move3_qp,best_score3
1,rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR,h2e2,红 炮2平5,35,"h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,g3g4,c6c5,b0a2,a9a8,a0a1,a8d8,c3c4,c5c4,b2c2,d8d4,a1b1","红 炮2平5,黑 马8进7,红 马2进3,黑 车9平8,红 车1平2,黑 马2进3,红 兵3进1,黑 卒3进1,红 马8进9,黑 车1进1,红 车9进1,黑 1平4,红 兵7进1,黑 3进1,红 炮8平7,黑 4进4,黑 1平2",35,"b2e2,b9c7,b0c2,g6g5,a0b0,a9b9,b0b4,h9g7,g3g4,g5g4,b4g4,h7h8,h2g2,h8g8,g4h4","红 炮8平5,黑 马2进3,红 马8进7,黑 卒7进1,红 车9平8,黑 车1平2,红 马8进48进8,黑 马8进7,红 兵3进1,黑 7进1,黑 2平7,黑 炮8退1,红 炮2平3,黑 8平7,黑 7平8",31,"g3g4,h7g7,h0g2,g6g5,g2f4,g5g4,f4e6,g7e7,b2e2,h9g7,b0c2,i9h9","红 兵3进1,黑 炮8平7,红 马2进3,黑 卒7进1,黑 ,黑 7进1,黑 ,黑 7平5,红 炮8平5,黑 马8进7,红 马8进7,黑 车9平8",30
2,rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C2C4/9/RNBAKABNR,h7e7,黑 8平5,-35,"h9g7,h0g2,g6g5,i0h0,i9h9,h0h6,b9c7,c3c4,h7i7,h6g6,h9h7,b0c2,c9e7,c2d4,b7b6,d4c6,d9e8","黑 马8进7,红 马2进3,黑 卒7进1,红 车1平2,黑 车9平8,红 马2进62进2,黑 马2进3,红 兵7进1,黑 8平9,黑 8平7,黑 马8进28进8,红 马8进7,黑 象3进5,黑 ,黑 炮2进1,黑 ,黑 士4进5",-31,"h7e7,h0g2,h9g7,i0h0,i9i8,c3c4,b9c7,b0c2,i8d8,g3g4,b7a7,a0b0,a9b9","黑 8平5,红 马2进3,黑 马8进7,红 车1平2,黑 车9进1,红 兵7进1,黑 马2进3,红 马8进7,黑 9平4,红 兵3进1,黑 炮2平1,红 车9平8,黑 车1平2",-35,"b9c7,c3c4,h7e7,h0g2,h9g7,i0h0,i9i8,b0c2","黑 马2进3,红 兵7进1,黑 8平5,红 马2进3,黑 马8进7,红 车1平2,黑 车9进1,红 马8进7",-35
3,rnbakabnr/9/1c2c4/p1p1p1p1p/9/9/P1P1P1P1P/1C2C4/9/RNBAKABNR,e2e6,红 炮5进4,12,"h0g2,h9g7,i0h0,i9i8,b0c2,i8d8,c3c4,b9a7,h0h5,d8d3,g3g4,d3c3,h5b5","红 马2进3,黑 马8进7,红 车1平2,黑 车9进1,红 马8进7,黑 9平4,红 兵7进1,黑 马2进1,红 马2进52进2,黑 4进5,红 兵3进1,黑 4平3,黑 8平2",35,"i0i1,h9g7,h0g2,i9h9,i1d1,h9h5,b0c2,c6c5,d1d7,b7c7,b2b8,c7c3,g3g4,c5c4,a0b0,g6g5","红 车1进1,黑 马8进7,红 马2进3,黑 车9平8,黑 9平4,黑 马8进48进8,红 马8进7,黑 卒3进1,黑 4退6,黑 炮2平3,红 炮8进6,黑 3进4,红 兵3进1,黑 3进1,红 车9平8,黑 卒7进1",26,"b0c2,h9g7,h0g2,i9h9,i0i1,c6c5,i1d1,b9c7,d1d6,a9a7,a0a1,h9h5,a1f1","红 马8进7,黑 马8进7,红 马2进3,黑 车9平8,红 车1进1,黑 卒3进1,黑 9平4,黑 马2进3,黑 4退5,黑 车1进2,红 车9进1,黑 马8进48进8,黑 1平6",22
4,rnbakabnr/9/1c2c4/p1p1C1p1p/9/9/P1P1P1P1P/1C7/9/RNBAKABNR,e7e3,黑 5进4,-315,"f9e8,e6e5,h9g7,b2e2,b9c7,b0c2,a9b9,a0b0,b7b3,c3c4,i9h9,c2d4,h9h1,c4c5,b9b4,d4b3,c6c5","黑 士6进5,黑 卒5进1,黑 马8进7,红 炮8平5,黑 马2进3,红 马8进7,黑 车1平2,红 车9平8,黑 炮2进4,红 兵7进1,黑 车9平8,黑 ,黑 马8进88进8,黑 3退1,黑 马2进52进2,黑 ,黑 卒3进1",-14,"d9e8,b2e2,h9g7,e6e4,b9c7,b0c2,c7e6,a0b0,b7c7,h0g2,i9h9,b0b6,e6d4,i0i1,c7c3,c0a2","黑 士4进5,红 炮8平5,黑 马8进7,黑 卒5进2,黑 马2进3,红 马8进7,黑 ,红 车9平8,黑 炮2平3,红 马2进3,黑 车9平8,红 马8进68进8,黑 卒,红 车1进1,黑 3进4,红 相7进9",-16,"e7i7,h0g2,h9g7,e6e4,b9c7,b2e2","黑 5平9,红 马2进3,黑 马8进7,黑 卒5进2,黑 马2进3,红 炮8平5",-271
5,rnbakabnr/9/1c7/p1p1C1p1p/9/9/P1P1c1P1P/1C7/9/RNBAKABNR,e6e4,红 炮5退2,325,"e6e4,h9i7,h0g2,i7g8,g2e3,g8f6,e4a4,b9a7,b2e2,b7e7,e2e7,a6a5,e7e6,a5a4,i0h0","红 炮5退2,黑 马8进9,红 马2进3,黑 ,黑 ,黑 ,黑 5平1,黑 马2进1,红 炮8平5,黑 炮2平5,黑 5退5,黑 卒1进1,黑 5进1,黑 1进1,红 车1平2",325,"e6e5,e3e4,a0a1,b7b5,a1d1,c6c5,e5b5,b9c7,b5b4,d9e8,i0i2,h9g7","红 炮5退1,黑 炮5退1,红 车9进1,黑 炮2进2,黑 1平4,黑 卒3进1,黑 5平2,黑 马2进3,黑 2进1,黑 士4进5,红 车1进2,黑 马8进7",94,"c3c4,e3e5,b2b5,b9c7,c4c5,e5b5,e6e2,c6c5,b0c2,c7d5,a0a1,i9i7,a1d1,d5f4,d1d4","红 兵7进1,黑 炮5退2,红 炮8进3,黑 马2进3,黑 3退1,黑 5平2,红 炮5退4,黑 卒3进1,红 马8进7,黑 ,红 车9进1,黑 车9进2,黑 1平4,黑 ,黑 4退3",-102
6,rnbakabnr/9/1c7/p1p3p1p/9/4C4/P1P1c1P1P/1C7/9/RNBAKABNR,i9i7,黑 车9进2,-396,"h9i7,b0c2,i7g8,c2e3,g8f6,b2e2,f6e4,e2e4,i9i7,h0g2,i7f7,a0b0,f7f4,b0b4,b9a7,i0i1","黑 马8进9,红 马8进7,黑 ,黑 ,黑 ,红 炮8平5,黑 ,黑 5退2,黑 车9进2,红 马2进3,黑 9平6,红 车9平8,黑 6进3,红 马8进48进8,黑 马2进1,红 车1进1",-347,"b7b3,b0c2,e3d3,b2b1,i9i8,h0g2","黑 炮2进4,红 马8进7,黑 5平4,红 炮8退1,黑 车9进1,红 马2进3",-393,"i9i7,h0g2,b7b3,b0c2,e3d3,i0h0,a9a7,b2b1,d3d1","黑 车9进2,红 马2进3,黑 炮2进4,红 马8进7,黑 5平4,红 车1平2,黑 车1进2,红 炮8退1,黑 4进2",-396
7,rnbakabn1/9/1c6r/p1p3p1p/9/4C4/P1P1c1P1P/1C7/9/RNBAKABNR,h0g2,红 马2进3,424,"h0g2,b7b3,g2e3,b3e3,b0c2,i7b7,a0b0,b7b4,c2e3,b4e4,b2e2,e4e8,b0b8,h9g7,e2e8,f9e8,e3d5,a9a7,i0i2,a7d7,d5f6,g7e6,f6g8,e9f9,b8b9","红 马2进3,黑 炮2进4,黑 ,黑 2平5,红 马8进7,黑 9平2,红 车9平8,黑 炮2进3,黑 ,黑 2平5,红 炮8平5,黑 5退4,红 马8进88进8,黑 马8进7,黑 5退6,黑 士6进5,黑 ,黑 车1进2,黑 9退2,黑 1平4,黑 ,黑 ,黑 ,黑 将5平6,黑 2退1",424,"b0c2,e3d3,b2b1,d3d1,i0i2,i7d7,c3c4,b7b2,c2b4,d7d4","红 马8进7,黑 5平4,红 炮8退1,黑 4进2,黑 9退2,黑 9平4,红 兵7进1,黑 炮2进5,黑 ,黑 4进3",314,"i0i1,i7d7,b0c2,d7d4,c2e3,d4e4","黑 9退1,黑 9平4,红 马8进7,黑 4进3,黑 ,黑 4平5",271
8,rnbakabn1/9/1c6r/p1p3p1p/9/4C4/P1P1c1P1P/1C4N2/9/RNBAKAB1R,b7b0,黑 炮2进7,,"e3e2,i0h0,e2d2,h0h9,b9c7,f0e1,b7a7,e1d2,a9b9,a0a2","黑 5进1,黑 9平8,黑 5平4,红 马2进92进2,黑 马2进3,红 仕4进5,黑 炮2平1,黑 ,黑 车1平2,红 车9进2",-397,"c6c5,i0h0,b9c7,g2e3,c7b5,b2e2,b5c3,e3g4,c3e2,c0e2,h9g7,g4f6,i7i8","黑 卒3进1,黑 9平8,黑 马2进3,黑 ,黑 ,红 炮8平5,黑 ,黑 ,红 兵,红 相7进5,黑 ,黑 ,黑 9退1",-411,"b7b3,g2e3,b3e3,b0c2,i7b7,a0b0,b7b4,c2e3,b4e4,b2e2,e4e7,b0b8,d9e8,e2e7,c9e7,i0h0,b9d8,h0h8,a9b9,b8b9,d8b9,e3d5,b9d8","黑 炮2进4,黑 ,黑 2平5,红 马8进7,黑 9平2,红 车9平8,黑 炮2进3,黑 ,黑 2平5,红 炮8平5,黑 5退3,红 马8进88进8,黑 士4进5,黑 5退5,黑 象3进5,黑 9平8,黑 马2进4,红 马2进82进2,黑 车1平2,黑 2退1,黑 ,黑 ,黑 马2进4",-427
9,rnbakabn1/9/8r/p1p3p1p/9/4C4/P1P1c1P1P/1C4N2/9/RcBAKAB1R,a0b0,红 车9平8,636,"a0b0,i7f7,g2e3,f7f2,i0h0,h9g7,d0e1,f2f4,b2e2,f4e4,e2e4","红 车9平8,黑 9平6,黑 ,黑 6进5,黑 9平8,黑 ,红 仕6进5,黑 6退2,黑 2平5,黑 6平5,黑 5退2",636,"g2e3,b0d0,a0a2,d0d3,b2e2,b9c7,e3g4,d3e3,g4e3","黑 ,红 马8平68进6,红 车9进2,红 仕6进36进6,黑 2平5,红 炮,黑 ,黑 4平5,黑 ",586,"b2b5,c6c5,b5b6,e9e8,a0b0,e8d8,g2e3,i7d7,e3c2,d7d4,e4e2","黑 2退3,黑 卒3进1,黑 2退1,黑 将5进1,红 车9平8,黑 5平4,黑 ,黑 9平4,黑 ,黑 4进3,黑 5进2",531
10,rnbakabn1/9/8r/p1p3p1p/9/4C4/P1P1c1P1P/1C4N2/9/1RBAKAB1R,i7b7,黑 9平2,-722,"e3e2,c0e2,i7b7,e2c4,b7b2,b0b2,a9a8,b2f2,h9g7,i0i1","黑 5进1,红 相7进5,黑 9平2,黑 ,黑 炮2进5,红 马8进28进8,黑 1进1,黑 2平6,黑 ,黑 9退1",-681,"i7f7,g2e3,f7f2,i0h0,h9i7,b2e2","黑 9平6,黑 ,黑 6进5,黑 9平8,黑 ,黑 2平5",-697,"i7d7,g2e3,d7d4,b2e2,d4e4,e2e4,b9c7,i0h0,a9b9,b0b9,c7b9,h0h9","黑 9平4,黑 ,黑 4进3,黑 2平5,黑 4平5,黑 5退2,黑 车,黑 9平8,黑 1平2,红 马8进98进8,黑 ,红 马2进92进2",-697
