idx,fen,move_fen,move_qp,score,best_move1_fen,best_move1_qp,best_score1,best_move2_fen,best_move2_qp,best_score2,best_move3_fen,best_move3_qp,best_score3
1,rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR,h2e2,红 炮2平5,30,"h2e2,h9g7,h0g2,g6g5,i0h0,i9h9,h0h6,c9e7,b2a2,b9c7,h6g6","红 炮2平5,黑 马8进7,红 马2进3,黑 卒7进1,红 车1平2,黑 车9平8,红 马2进62进2,黑 象3进5,红 炮8平9,黑 马2进3,黑 8平7",30,"g3g4,c6c5,h2e2,g9e7,b0a2,h9f8,b2c2,i9g9,a0b0","红 兵3进1,黑 卒3进1,红 炮2平5,黑 象7进5,红 马8进9,黑 马8进6,红 炮8平7,黑 车9平7,红 车9平8",28,"b2e2,b9c7,c3c4,a9b9,b0c2,b7a7,h0g2","红 炮8平5,黑 马2进3,红 兵7进1,黑 车1平2,红 马8进7,黑 炮2平1,红 马2进3",27
2,rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C2C4/9/RNBAKABNR,h9g7,黑 马8进7,-27,"h9g7,h0g2,i9h9,i0h0,c6c5,h0h6,b9c7,b0c2,h7i7,h6h9,g7h9,g3g4,c9e7,b2b6","黑 马8进7,红 马2进3,黑 车9平8,红 车1平2,黑 卒3进1,红 马2进62进2,黑 马2进3,红 马8进7,黑 8平9,黑 8退3,黑 ,红 兵3进1,黑 象3进5,红 炮8进4",-27,"h7e7,h0g2,h9g7,i0h0,i9i8,b0c2,b9c7,c3c4,i8d8,h0h6,d8d3,a0a2,g6g5,g3g4,g5g4,h6g6","黑 8平5,红 马2进3,黑 马8进7,红 车1平2,黑 车9进1,红 马8进7,黑 马2进3,红 兵7进1,黑 9平4,红 马2进62进2,黑 4进5,红 车9进2,黑 卒7进1,红 兵3进1,黑 7进1,黑 8平7",-31,"b9c7,c3c4,g6g5,h0g2,h9g7,i0h0,i9h9,b0c2,b7b3,g3g4,g5g4,h0h6,g4g3,c2d4,b3d3,h6g6,a9b9,a0b0","黑 马2进3,红 兵7进1,黑 卒7进1,红 马2进3,黑 马8进7,红 车1平2,黑 车9平8,红 马8进7,黑 炮2进4,红 兵3进1,黑 7进1,红 马2进62进2,黑 7进1,黑 ,黑 2平4,黑 8平7,黑 车1平2,红 车9平8",-33
3,rnbakab1r/9/1c4nc1/p1p1p1p1p/9/9/P1P1P1P1P/1C2C4/9/RNBAKABNR,h0g2,黑 ,31,"h0g2,i9h9,i0h0,g6g5,c3c4,h7h3,b2b4,b9a7,g3g4,c6c5","黑 ,黑 车9平8,红 车1平2,黑 卒7进1,红 兵7进1,黑 8进4,红 炮8进2,黑 马2进1,红 兵3进1,黑 卒3进1",31,"g3g4,c6c5,h0g2,i9h9,b0a2,b9c7,i0h0,h7h3,b2c2,c7b5","红 兵3进1,黑 卒3进1,黑 ,黑 车9平8,红 马8进9,黑 马2进3,红 车1平2,黑 8进4,红 炮8平7,黑 ",27,"c3c4,i9h9,h0g2,h7i7,g3g4,c6c5,c4c5,h9h5,c5c6,h5c5,b2d2,c5c6,b0c2,c6c3,a0b0,b9a7,i0h0","红 兵7进1,黑 车9平8,黑 ,黑 8平9,红 兵3进1,黑 卒3进1,黑 3退1,黑 马8进48进8,黑 3退1,黑 8平3,红 炮8平6,黑 3退1,红 马8进7,黑 卒3进3,红 车9平8,黑 马2进1,红 车1平2",26
4,rnbakab1r/9/1c4nc1/p1p1p1p1p/9/9/P1P1P1P1P/1C2C1N2/9/RNBAKAB1R,i9h9,黑 车9平8,-30,"g6g5,c3c4,i9h9,i0h0,h7h3,b2b4,b7c7,b4a4,c7a7,a0a1,a6a5,a4a7,b9a7","黑 卒7进1,红 兵7进1,黑 车9平8,红 车1平2,黑 8进4,红 炮8进2,黑 炮2平3,黑 2平1,黑 3平1,红 车9进1,黑 卒1进1,黑 1退3,黑 马2进1",-29,"i9h9,i0h0,g6g5,h0h4,b9c7,c3c4,h7i7,h4h9,g7h9,b0c2,h9g7,c2d4,b7a7,a0b0,a9b9,b2b6","黑 车9平8,红 车1平2,黑 卒7进1,黑 8退4,黑 马2进3,红 兵7进1,黑 8平9,黑 8退5,黑 马7退8,红 马8进7,黑 ,黑 ,黑 炮2平1,红 车9平8,黑 车1平2,红 炮8进4",-30,"c6c5,g3g4,b9c7,i0h0,i9h9,b2c2,c9e7,c3c4,c7b5,c4c5,e7c5,c2c1,c5e7,b0c2,a9a8,h0h4,a8d8","黑 卒3进1,红 兵3进1,黑 马2进3,红 车1平2,黑 车9平8,红 炮8平7,黑 象3进5,红 兵7进1,黑 ,黑 3退1,黑 炮,黑 3进1,黑 ,红 马8进7,黑 车1进1,黑 8退4,黑 1平4",-33
5,rnbakabr1/9/1c4nc1/p1p1p1p1p/9/9/P1P1P1P1P/1C2C1N2/9/RNBAKAB1R,i0h0,黑 9平8,24,"c3c4,g6g5,i0h0,c9e7,b0c2,h7h3,b2b9,a9b9,a0b0,b7b1,h0h1,b1b3,c2d4,d9e8","红 兵7进1,黑 卒7进1,黑 9平8,黑 象3进5,红 马8进7,黑 8进4,红 炮8进7,黑 车1平2,红 车9平8,黑 炮2进6,红 车2进1,黑 2退2,黑 ,黑 士4进5",25,"b2d2,h7i7,b0c2,b9c7,a0b0,a9b9,g3g4,c6c5,b0b6,b7a7,b6b9,c7b9,i0i1","红 炮8平6,黑 8平9,红 马8进7,黑 马2进3,红 车9平8,黑 车1平2,红 兵3进1,黑 卒3进1,红 马8进68进8,黑 炮2平1,黑 2退3,黑 ,黑 9退1",25,"b0c2,h7i7,b2a2,b9c7,a0b0,a9b9,b0b6,b7a7,b6b9,c7b9,i0i1,c6c5","红 马8进7,黑 8平9,红 炮8平9,黑 马2进3,红 车9平8,黑 车1平2,红 马8进68进8,黑 炮2平1,黑 2退3,黑 ,黑 9退1,黑 卒3进1",24
6,rnbakabr1/9/1c4nc1/p1p1p1p1p/9/9/P1P1P1P1P/1C2C1N2/9/RNBAKABR1,g6g5,黑 卒7进1,-31,"c6c5,b0a2,b9c7,b2d2,a9b9,a0b0,b7b3","黑 卒3进1,红 马8进9,黑 马2进3,红 炮8平6,黑 车1平2,红 车9平8,黑 炮2进4",-27,"g6g5,b0c2,b9c7,c3c4,b7b3,h0h4,h7i7","黑 卒7进1,红 马8进7,黑 马2进3,红 兵7进1,黑 炮2进4,红 车2进4,黑 8平9",-31,"b9c7,g3g4,c6c5,b2b6,h7h3,g2f4,h3h4,f4g6,h4h2,b0a2,c9e7,a0a1,d9e8","黑 马2进3,红 兵3进1,黑 卒3进1,红 炮8进4,黑 8进4,红 马3进4,黑 8退1,黑 ,黑 8进2,红 马8进9,黑 象3进5,红 车9进1,黑 士4进5",-36
7,rnbakabr1/9/1c4nc1/p1p1p3p/6p2/9/P1P1P1P1P/1C2C1N2/9/RNBAKABR1,h0h6,红 车2进6,25,"h0h6,d9e8,b0c2,h7i7,h6g6,c9e7,b2b9,a9b9,a0b0","红 车2进6,黑 士4进5,红 马8进7,黑 8平9,黑 8平7,黑 象3进5,红 炮8进7,黑 车1平2,红 车9平8",25,"b0c2,h7h3,c3c4,c9e7,b2a2,d9e8,a0b0,b7c7,c2d4,h3e3,d0e1,h9h0,g2h0,b9d8,b0b8,a9b9,b8d8","红 马8进7,黑 8进4,红 兵7进1,黑 象3进5,红 炮8平9,黑 士4进5,红 车9平8,黑 炮2平3,黑 ,黑 8平5,红 仕6进5,黑 车8进9,红 马3退2,黑 马2进4,红 马8进88进8,黑 车1平2,黑 2平4",23,"c3c4,c9e7,b0c2,h7h3,b2a2,b9d8,a0a1,a9a8,a1d1,b7c7,c2b4","红 兵7进1,黑 象3进5,红 马8进7,黑 8进4,红 炮8平9,黑 马2进4,红 车9进1,黑 车1进1,黑 1平4,黑 炮2平3,黑 ",23
8,rnbakabr1/9/1c4nc1/p1p1p2Rp/6p2/9/P1P1P1P1P/1C2C1N2/9/RNBAKAB2,b9c7,黑 马2进3,-26,"b9c7,b0c2,h7i7,h6h9,g7h9,e3e4,h9g7,c2e3","黑 马2进3,红 马8进7,黑 8平9,黑 8退3,黑 马7退8,红 兵5进1,黑 ,黑 ",-26,"c6c5,b0c2,b9c7,a0a1,b7b6,h6h4,h7i7,h4h9,g7h9,a1h1,h9g7,h1h7,b6b7,e3e4,c7e8,h7h6,b7e7,c2e3,a9b9","黑 卒3进1,红 马8进7,黑 马2进3,红 车9进1,黑 炮2进1,黑 8进2,黑 8平9,黑 8退5,黑 马7退8,黑 1平8,黑 ,黑 8退6,黑 2退1,红 兵5进1,黑 ,黑 8进1,黑 炮2平5,黑 ,黑 车1平2",-30,"d9e8,b2a2,h7i7,h6g6,c9e7,e3e4,h9h7","黑 士4进5,红 炮8平9,黑 8平9,黑 8平7,黑 象3进5,红 兵5进1,黑 8进2",-39
9,r1bakabr1/9/1cn3nc1/p1p1p2Rp/6p2/9/P1P1P1P1P/1C2C1N2/9/RNBAKAB2,c3c4,红 兵7进1,26,"b0c2,g7f5,c3c4,g9e7,b2a2,g5g4,h6h5,f5g7,h5b5,g4g3,b5b7,g3g2,b7c7,g2f2,c7c6,f2e2,c0e2","黑 ,黑 马7进6,红 兵7进1,黑 象7进5,红 炮8平9,黑 7进1,黑 8进1,黑 ,黑 8平2,红 兵3退1,黑 2退2,黑 7进1,黑 炮2平3,红 马3平43进4,黑 3进1,黑 6平5,红 相7进5",29,"c3c4,g7f5,b0c2,g9e7,b2a2,g5g4,h6f6,f5h4,a0b0,a9b9,c2d4,g4g3","红 兵7进1,黑 马7进6,黑 ,黑 象7进5,红 炮8平9,黑 7进1,黑 8平6,黑 ,红 车9平8,黑 车1平2,红 马7进6,红 兵3退1",26,"e3e4,c6c5,b0c2,b7b6,h6h4,c9e7,e4e5,d9e8,e5e6,g7e6,c2e3,a9d9,e2e6,c7e6,b2e2,e6d4,a0b0","红 兵5进1,黑 卒3进1,黑 ,黑 炮2进1,黑 8进2,黑 象3进5,黑 5退1,黑 士4进5,黑 5退1,黑 马7进5,红 马7进5,黑 车1平4,黑 5退4,黑 ,红 炮8平5,黑 卒,红 车9平8",24
10,r1bakabr1/9/1cn3nc1/p1p1p2Rp/6p2/2P6/P3P1P1P/1C2C1N2/9/RNBAKAB2,d9e8,黑 士4进5,-33,"h7i7,h6g6,h9h7,b0c2,b7b6,b2a2,c9e7,a0b0,a9b9","黑 8平9,黑 8平7,黑 8进2,黑 ,黑 炮2进1,红 炮8平9,黑 象3进5,红 车9平8,黑 车1平2",-26,"g7f5,b0c2,g9e7,b2a2,a9a8,a0b0,b7b8,g2e1,g5g4,h6h5,f5g7,h5h6,g4g3,h6g6","黑 马7进6,黑 ,黑 象7进5,红 炮8平9,黑 车1进1,红 车9平8,黑 炮2退1,红 马3退5,黑 7进1,黑 8进1,黑 ,黑 8退1,红 兵3退1,黑 8平7",-29,"c9e7,b0c2,b7b6,b2a2,c6c5,h6h4,c5c4","黑 象3进5,黑 ,黑 炮2进1,红 炮8平9,黑 3进1,黑 8进2,黑 卒3进1",-29
