idx,fen,move_fen,move_qp,score,best_move1_fen,best_move1_qp,best_score1,best_move2_fen,best_move2_qp,best_score2,best_move3_fen,best_move3_qp,best_score3
11,r1bakabr1/9/1cn1c1n2/p1p1p3p/6p2/9/P1P1P1P1P/NC2C1N2/R7R/2BAKAB2,c3c4,红 兵7进1,46,"h0h6,a8c8,h6g6,c6c5,b2b1,i8i7,g6f6,i7h7","红 车2进6,黑 车1平3,黑 8平7,黑 卒3进1,红 炮8退1,黑 车9进1,黑 卒7平6,黑 9平8",62,"e2f2,a8h8,h0h8,i8h8,b2a2,h8h5,a0b0,b7d7,b0b4,a6a5","红 炮5平4,黑 车1平8,红 车2进8,黑 车9平8,红 炮8平9,黑 8进3,红 车9平8,黑 炮2平4,黑 2退4,黑 卒1进1",52,"b2a2,a8b8,h0h6,b7c7,h6g6,i8d8,a2a6","红 炮8平9,黑 车1平2,红 车2进6,黑 炮2平3,黑 8平7,黑 车9平4,黑 1退4",52
12,r1bakabr1/9/1cn1c1n2/p3p3p/2p3p2/9/P1P1P1P1P/NC2C1N2/R7R/2BAKAB2,i8f8,黑 车9平6,-54,"a8h8,h0h8,i8h8,c2d4,h8h5,d4c6,g6g5,c6d8,b7c7,d8e6,g7e6,e2e6,f9e8","黑 车1平8,红 车2进8,黑 车9平8,红 马7进6,黑 8进3,黑 ,黑 卒7进1,黑 卒,黑 炮2平3,黑 ,黑 马7进5,红 炮5进4,黑 士6进5",-49,"a8d8,e2f2,i8f8,d0e1,d8d1,h0h6","黑 车1平4,红 炮5平4,黑 车9平6,红 仕6进5,黑 4进7,红 车2进6",-50,"i8d8,h0h5,d8d3,e2f2,a8f8,d0e1,f8f3,c0e2,e7e3,c2e3,d3e3,a0d0,f9e8","黑 车9平4,红 车2进5,黑 4进5,红 炮5平4,黑 车1平6,红 仕6进5,黑 6进5,红 相7进5,黑 炮5进4,红 马7进5,黑 4平5,红 车9平6,黑 士6进5",-52
13,r1bakabr1/9/1cn1c1n2/p3p3p/2p3p2/9/P1P1P1P1P/NC2C1N2/R4R3/2BAKAB2,c2d4,红 马7进6,56,"d0e1,c6c5,c4c5,f8f5,e2f2,f5c5,c0e2,g6g5,h0h4","红 仕6进5,黑 卒3进1,红 兵7进1,黑 车6进3,红 炮5平4,黑 6平3,红 相7进5,黑 卒7进1,红 车2进4",61,"h0h5,a8d8,d0e1,d8d3,e2f2,f8f3,c0e2,f3g3,a0d0","红 车2进5,黑 车1平4,红 仕6进5,黑 4进5,红 炮5平4,黑 车6进5,红 相7进5,黑 6平7,红 车9平6",59,"c2d4,a8d8,d4e6,f8f6,e6f4,e7e2,c0e2,f6f5,b2b6,b7f7,b6g6,g9e7","红 马7进6,黑 车1平4,黑 ,黑 车6进2,黑 卒,黑 炮5进5,红 相7进5,黑 6进1,红 炮8进4,黑 炮2平6,黑 2平7,黑 象7进5",56
14,r1bakabr1/9/1c2c1n2/p3p3p/2pn2p2/9/P1P1P1P1P/NC2C1N2/R4R3/2BAKAB2,a8d8,黑 车1平4,-49,"b7b4,d4e6,f8f6,e6c7,a8d8,f0e1,f6f3,e2e7,g9e7,g0e2,f3g3,c7a6","黑 炮2进3,红 马6进5,黑 车6进2,黑 卒,黑 车1平4,红 仕4进5,黑 6进3,红 炮5进5,黑 象7进5,红 相3进5,黑 6平7,黑 ",-42,"a8d8,d4e6,f8f6,b2b6,f6f5,e6g7,b7g7,f0e1,d8d1,b6g6","黑 车1平4,红 马6进5,黑 车6进2,红 炮8进4,黑 6进1,黑 卒,黑 炮2平7,红 仕4进5,黑 4进7,黑 2平7",-49,"f8f6,b2b6,a8d8,d4c6,e7c7,c0a2,f6f2,h0h2","黑 车6进2,红 炮8进4,黑 车1平4,红 马6进7,黑 炮5平3,红 相7进9,黑 6进4,红 车2进2",-66
15,r1bakabr1/9/1c2c1n2/p3p3p/2pn2p2/9/P1P1P1P1P/NC2C1N2/3R1R3/2BAKAB2,d4c6,红 马6进7,30,"d4e6,f8f6,e6f4,e7e2,c0e2,f6f5,h0h6,g7e6,b2b4","红 马6进5,黑 车6进2,黑 卒,黑 炮5进5,红 相7进5,黑 6进1,红 车2进6,黑 马7进5,红 炮8进2",51,"b2b4,f8f2,h0h2,e7e3,d0e1,e3e5,a3a4,b7e7,a0a3,f2f6","红 炮8进2,黑 车6进6,红 车2进2,黑 炮5进4,红 仕6进5,红 兵5进2,红 兵9进1,黑 炮2平5,红 车9进3,黑 6退4",36,"d4c6,d8d6,c4c5,f8f5,b2b6,d6d1,b6e6,g7e6,e2e6,d9e8,a0b0,d1d6,b0b7,d6e6,c6e7,g9e7","红 马6进7,黑 车4进2,红 兵7进1,黑 车6进3,红 炮8进4,黑 4进5,黑 2平5,黑 马7进5,红 炮5进4,黑 士4进5,红 车9平8,黑 4退5,黑 2退7,黑 4平5,黑 卒,黑 象7进5",30
16,r1bakabr1/9/1c2c1n2/p3p3p/2p3p2/9/P1n1P1P1P/NC2C1N2/3R1R3/2BAKAB2,d8d5,黑 车4进3,-69,"d8d6,c4c5,f8f5,b2b6,d6d1,b6e6,g7e6,e2e6,d9e8,c6e7,c9e7,a0b0,b7d7","黑 车4进2,红 兵7进1,黑 车6进3,红 炮8进4,黑 4进5,黑 2平5,黑 马7进5,红 炮5进4,黑 士4进5,红 马7进5,黑 象3进5,红 车9平8,黑 炮2平4",-22,"d8d2,c6e7,c9e7,b2a2,d2b2,d0e1,f8f3,e2d2,f3g3,c0e2,g6g5,h0h6,g5g4","黑 车4进6,红 马7进5,黑 象3进5,红 炮8平9,黑 4平2,红 仕6进5,黑 车6进5,红 炮5平6,黑 6平7,红 相7进5,黑 卒7进1,红 车2进6,黑 7进1",-53,"d8d3,d0e1,f8f5,c6e7,g9e7,h0h6,b7d7,h6g6,a7c6,e2e6,g7e6,g6e6","黑 车4进5,红 仕6进5,黑 车6进3,红 马7进5,黑 象7进5,红 车2进6,黑 炮2平4,黑 8平7,黑 马1进3,红 炮5进4,黑 马7进5,黑 卒7平5",-61
17,r1bakabr1/9/1c2c1n2/p3p3p/2p3p2/3R5/P1n1P1P1P/NC2C1N2/5R3/2BAKAB2,b2c2,红 炮8平7,37,"d0e1,d5d6,c6a7,c9a7,h0h6,f8f3,h6g6,f3g3,b2d2,b7d7,d2d7,d6d7,g6g7,g3g2","红 仕6进5,黑 车4退1,红 马7进9,黑 象3进1,红 车2进6,黑 车6进5,黑 8平7,黑 6平7,红 炮8平6,黑 炮2平4,黑 4退5,黑 4退1,黑 卒7退1,黑 7进1",69,"c6e7,c9e7,h0h6,b7c7,d0e1,g6g5,h6g6,f8b8,b2d2,a7c6,g4g5,d5g5,g6g5,e7g5","红 马7进5,黑 象3进5,红 车2进6,黑 炮2平3,红 仕6进5,黑 卒7进1,黑 8平7,黑 车6平2,红 炮8平6,黑 马1进3,红 兵3进1,黑 车4平7,黑 卒7进1,黑 炮",59,"h0h6,b7c7,c6e7,c9e7,d0e1,g6g5,h6g6,f8b8,b2d2,a7c6,g4g5,d5g5,g6g5,e7g5","红 车2进6,黑 炮2平3,红 马7进5,黑 象3进5,红 仕6进5,黑 卒7进1,黑 8平7,黑 车6平2,红 炮8平6,黑 马1进3,红 兵3进1,黑 车4平7,黑 卒7进1,黑 炮",58
18,r1bakabr1/9/2c1c1n2/p3p3p/2p3p2/3R5/P1n1P1P1P/NC2C1N2/5R3/2BAKAB2,g6g5,黑 卒7进1,-84,"b7c7,d0e1,g6g5,c6e7,c7c2,h0h7,c9e7,h7g7,f8f6,g2h4,d5d4,a0b0,g5g4","黑 炮2平3,红 仕6进5,黑 卒7进1,红 马7进5,黑 3进5,红 车2进7,黑 象3进5,黑 8平7,黑 车6进2,红 马3进2,黑 车4进1,红 车9平8,黑 7进1",-34,"d5d6,c6a7,c9a7,h0h6,b7d7,d0e1,f8f3,c2c3","黑 车4退1,红 马7进9,黑 象3进1,红 车2进6,黑 炮2平4,红 仕6进5,黑 车6进5,红 炮7进1",-44,"b7d7,c6e7,c9e7,f0e1,a6a5,a3a4,a7b5,a4a5,b5d4,c2c3,d4e2,g0e2,f8f5,a5a6","黑 炮2平4,红 马7进5,黑 象3进5,红 仕4进5,黑 卒1进1,红 兵9进1,黑 马1进2,黑 1退1,黑 ,红 炮7进1,黑 ,红 相3进5,黑 车6进3,黑 1退1",-48
19,r1bakabr1/9/2c1c1n2/p3p3p/2p3p2/3R2P2/P1n1P3P/NC2C1N2/5R3/2BAKAB2,a0b0,红 车9平8,42,"c6e7,c9e7,a0b0,f8b8,g4g5,d5g5,g2f4,b7b3,h0h6,d9e8,e2e6,b8b6,e6g6","红 马7进5,黑 象3进5,红 车9平8,黑 车6平2,红 兵3进1,黑 车4平7,红 马3进4,黑 炮2进4,红 车2进6,黑 士4进5,红 炮5进4,黑 2进2,黑 卒5平7",83,"g4g5,d5g5,c6e7,c9e7,a0b0,b7b5,d0e1,f8f5,h0h4,g5g3,b0b3,a6a5","红 兵3进1,黑 车4平7,红 马7进5,黑 象3进5,红 车9平8,黑 炮2进2,红 仕6进5,黑 车6进3,红 车2进4,黑 卒7进2,黑 2退3,黑 卒1进1",64,"a0b0,b7c7,c6e7,c7c2,h0h7,f8f7,g2f4,d5f5","红 车9平8,黑 炮2平3,红 马7进5,黑 3进5,红 车2进7,黑 车6进1,红 马3进4,黑 车4平6",42
20,1rbakabr1/9/2c1c1n2/p3p3p/2p3p2/3R2P2/P1n1P3P/NC2C1N2/5R3/2BAKAB2,b7d7,黑 炮2平4,-129,"b7c7,c6e7,c7c2,h0h7,c9e7,h7g7,f8d8,e2e6,d9e8","黑 炮2平3,红 马7进5,黑 3进5,红 车2进7,黑 象3进5,黑 8平7,黑 车6平4,红 炮5进4,黑 士4进5",-22,"b7b5,c6e7,c9e7,h0h7,f8g8,g2f4,d5f5,g4g5,b5g5,f4h3,g5g3,b0b7,f9e8,b7a7,g7h5","黑 炮2进2,红 马7进5,黑 象3进5,红 车2进7,黑 车6平7,红 马3进4,黑 车4平6,红 兵3进1,黑 2平7,黑 ,黑 卒7进2,红 车8进7,黑 士6进5,黑 炮2平1,黑 马7进8",-103,"b7d7,c6b8,d9e8,c2c9,f8f2,b8d7,d5d7","黑 炮2平4,红 马7进8,黑 士4进5,红 炮7进7,黑 车6进6,黑 ,黑 车4退2",-129
